date,EE,LT,LV,AT,BE,FR,GER,NL,PL,DK1,DK2,FI,NO1,NO2,NO3,NO4,NO5,SE1,SE2,SE3,SE4,SYS
2026-04-29 00:00:00,96.67,96.67,96.67,106.53,92.65,60.96,101.96,97.57,103.91,101.96,103.83,44.42,99.7,99.06,81.74,42.58,99.34,43.79,44.09,71.37,96.86,93.0
2026-04-29 00:15:00,95.89,95.89,95.89,109.54,78.92,16.43,98.38,89.13,101.68,98.38,98.38,43.65,96.11,96.06,76.1,43.47,96.09,43.59,43.62,70.42,95.9,91.46
2026-04-29 00:30:00,93.76,93.76,93.76,107.26,78.53,17.56,97.46,88.46,100.71,97.46,97.46,44.53,95.78,95.35,78.25,43.29,95.55,44.1,44.31,69.87,93.89,90.38
2026-04-29 00:45:00,91.42,91.42,91.42,106.0,72.47,0.02,95.03,84.31,99.19,95.03,95.03,45.09,95.15,94.36,80.0,42.84,94.72,44.32,44.68,69.05,91.65,89.96
2026-04-29 01:00:00,94.83,94.83,94.83,108.43,77.68,14.85,97.82,88.36,101.13,97.82,97.82,42.64,94.76,94.78,74.8,42.65,94.78,42.65,42.65,69.48,94.83,89.96
2026-04-29 01:15:00,93.52,93.52,93.52,104.91,78.03,20.75,96.32,87.74,99.32,96.32,96.32,45.85,93.53,93.53,75.38,45.81,93.53,45.84,45.85,70.37,93.52,89.48
2026-04-29 01:30:00,94.28,94.28,94.28,104.96,80.0,27.52,96.7,88.87,99.28,96.7,96.7,49.99,93.68,93.88,75.81,50.3,93.79,49.99,49.91,72.79,94.28,89.87
2026-04-29 01:45:00,93.66,93.66,93.66,105.11,77.33,18.69,96.06,87.27,99.1,96.06,96.06,50.28,93.24,93.38,76.02,50.49,93.32,50.28,50.23,72.6,93.66,89.83
2026-04-29 02:00:00,92.97,92.97,92.97,109.8,75.61,6.49,97.83,87.44,101.7,97.83,97.83,48.29,92.88,94.73,64.73,50.68,93.91,47.81,47.07,72.29,93.85,89.76
2026-04-29 02:15:00,92.7,92.7,92.7,108.96,76.4,10.63,97.54,87.65,101.21,97.54,97.54,50.0,92.79,94.57,65.73,52.23,93.78,49.49,48.77,72.97,93.57,89.96
2026-04-29 02:30:00,93.6,93.6,93.6,111.13,74.67,0.8,98.44,87.32,102.62,98.44,98.44,51.27,93.67,95.44,66.86,53.49,94.66,50.77,50.06,74.04,94.47,91.43
2026-04-29 02:45:00,93.72,93.72,93.72,110.65,74.05,0.0,97.86,86.72,102.02,97.86,97.86,61.93,93.6,94.91,73.62,63.64,94.33,61.6,61.08,78.99,94.34,91.26
2026-04-29 03:00:00,92.81,92.81,92.81,109.81,73.84,0.03,97.59,85.68,101.79,97.59,97.59,51.18,92.88,94.62,66.03,53.37,93.85,50.7,50.0,73.49,93.66,90.09
2026-04-29 03:15:00,93.87,93.87,93.87,110.3,74.17,0.0,98.03,86.06,102.26,98.03,98.03,61.72,93.75,95.08,73.17,63.45,94.49,61.39,60.86,78.91,94.49,91.5
2026-04-29 03:30:00,95.1,95.1,95.1,110.81,74.65,-0.01,98.71,86.64,103.1,98.71,98.71,71.68,94.81,95.77,80.0,72.98,95.34,71.49,71.11,84.16,95.52,92.97
2026-04-29 03:45:00,96.5,96.5,96.5,111.98,75.46,-0.01,99.78,87.58,104.23,99.78,99.78,80.39,96.3,96.96,86.11,81.28,96.67,80.26,79.99,88.98,96.79,94.21
2026-04-29 04:00:00,93.06,93.06,93.06,110.82,74.84,0.0,98.68,86.12,103.08,98.68,98.67,77.95,93.96,95.56,69.48,63.51,94.86,64.28,62.99,89.48,94.26,94.01
2026-04-29 04:15:00,97.83,97.83,97.83,111.75,75.65,-0.01,99.8,87.08,104.42,99.8,99.8,87.64,95.65,96.67,80.0,76.76,96.22,77.59,76.64,95.24,98.19,95.35
2026-04-29 04:30:00,98.87,98.87,98.87,112.92,76.41,0.0,100.79,87.95,105.43,100.79,100.79,89.42,96.85,97.8,82.33,79.32,97.38,80.09,79.21,96.47,99.21,96.19
2026-04-29 04:45:00,101.03,101.03,101.03,116.25,78.39,0.0,103.33,90.2,107.85,103.33,101.47,91.88,99.02,99.93,84.99,82.1,99.53,82.85,82.0,98.7,101.34,99.53
2026-04-29 05:00:00,102.01,102.01,102.01,112.41,76.25,1.24,102.07,89.42,105.86,102.07,102.92,83.61,98.06,99.91,69.59,63.87,99.11,65.49,63.72,97.17,102.66,99.08
2026-04-29 05:15:00,104.82,104.82,104.82,115.96,78.69,2.2,105.04,92.12,108.92,105.04,104.94,92.25,100.05,101.27,81.24,77.92,100.74,79.27,78.0,101.38,104.93,101.59
2026-04-29 05:30:00,112.17,112.17,112.17,120.95,84.17,9.77,109.71,97.19,113.16,109.71,110.82,104.35,103.31,103.94,93.42,93.0,103.66,94.52,93.56,109.67,111.3,103.98
2026-04-29 05:45:00,118.44,118.44,118.44,125.91,88.88,13.49,114.8,102.09,118.44,114.8,114.8,106.3,104.94,105.77,91.94,91.39,105.4,93.38,92.12,113.29,115.44,106.69
2026-04-29 06:00:00,121.99,121.99,121.99,105.23,74.93,14.35,121.58,116.37,111.7,121.58,121.59,110.73,108.99,110.05,92.47,91.91,109.59,94.42,92.65,119.5,122.41,109.98
2026-04-29 06:15:00,142.33,142.33,142.33,115.95,78.35,1.15,137.93,131.13,126.36,137.93,137.94,116.94,113.59,115.63,81.64,80.56,114.74,85.41,81.99,133.9,139.52,113.93
2026-04-29 06:30:00,156.56,156.56,156.56,129.34,95.2,6.95,149.84,144.47,141.75,149.84,151.03,124.55,120.31,122.89,80.01,78.65,121.77,84.77,80.46,145.94,153.02,117.89
2026-04-29 06:45:00,125.57,156.09,156.09,126.51,100.4,0.64,149.84,146.06,141.31,149.84,150.8,125.53,121.48,123.94,83.01,81.71,122.87,87.55,83.44,145.94,152.71,120.28
2026-04-29 07:00:00,154.87,154.87,154.87,143.48,109.02,34.6,153.0,142.03,149.15,153.0,153.01,135.34,130.62,132.51,101.38,100.22,131.68,104.72,101.73,149.34,154.46,131.69
2026-04-29 07:15:00,121.9,133.55,133.55,138.2,107.19,42.69,130.17,119.1,133.55,130.17,131.54,121.88,120.35,121.29,105.73,105.13,120.88,107.41,105.91,129.7,132.26,121.22
2026-04-29 07:30:00,113.74,122.8,113.74,127.76,96.67,32.1,119.2,108.07,122.8,119.2,121.23,113.72,112.53,113.26,101.15,100.68,112.94,102.45,101.29,119.8,121.8,112.96
