date,EE_buy,EE_sell,LT_buy,LT_sell,LV_buy,LV_sell,AT_buy,AT_sell,BE_buy,BE_sell,FR_buy,FR_sell,GER_buy,GER_sell,NL_buy,NL_sell,PL_buy,PL_sell,DK1_buy,DK1_sell,DK2_buy,DK2_sell,FI_buy,FI_sell,NO1_buy,NO1_sell,NO2_buy,NO2_sell,NO3_buy,NO3_sell,NO4_buy,NO4_sell,NO5_buy,NO5_sell,SE1_buy,SE1_sell,SE2_buy,SE2_sell,SE3_buy,SE3_sell,SE4_buy,SE4_sell
2024-09-05 23:00:00,667.1,353.6,993.4,587.0,558.4,176.1,0.0,58.0,371.7,104.3,357.0,858.0,489.5,1371.6,1359.6,2213.4,122.4,55.0,1132.3,1574.1,509.1,929.8,4249.7,4481.7,1958.2,2331.7,3400.4,4690.8,2656.8,2000.9,1466.8,1393.9,951.2,3065.3,962.3,2827.7,1352.3,4000.3,6418.6,5130.4,1499.4,597.9
2024-09-05 00:00:00,644.4,345.1,973.4,511.8,541.7,174.0,0.0,58.0,376.9,29.0,335.7,838.7,496.0,1507.8,1649.3,2823.8,116.2,38.0,1103.5,1611.6,506.2,847.6,4141.5,4479.7,1865.3,2302.4,3401.5,4574.1,2625.5,1983.9,1432.3,1320.5,897.0,2938.2,948.6,2794.2,1272.7,3826.8,6227.3,5051.4,1464.5,591.2
2024-09-05 01:00:00,640.8,342.7,961.4,481.4,529.4,167.0,0.0,38.0,373.2,29.0,340.9,619.6,888.6,1487.7,1542.3,2692.9,106.7,38.0,1072.1,1679.7,510.9,790.4,4112.1,4401.4,1783.9,2295.7,3422.0,4551.9,2618.8,1954.0,1416.4,1294.9,878.7,2857.5,943.7,2873.2,1239.6,3869.9,6184.5,4994.6,1437.4,576.0
2024-09-05 02:00:00,643.9,336.0,959.6,489.6,529.9,164.4,0.0,38.0,360.8,35.9,333.4,635.8,976.9,1549.3,1481.1,2497.0,108.1,38.0,1051.2,1784.8,486.5,765.4,4114.6,4307.1,1744.5,2282.8,3387.5,4495.9,2612.9,1908.8,1409.3,1290.2,867.6,2847.1,946.5,3100.5,1249.3,3820.5,6109.3,4908.6,1414.2,541.8
2024-09-05 03:00:00,660.1,341.8,1001.4,527.0,553.4,168.1,0.1,38.0,762.3,44.4,324.8,642.5,984.4,1574.9,1476.7,2542.2,124.7,46.0,1072.4,2005.0,477.3,772.6,4267.7,4169.0,1750.7,2291.1,3383.6,4503.5,2611.9,1944.5,1404.7,1263.6,884.4,2853.0,958.4,3252.0,1252.0,3924.3,6162.1,5048.5,1420.9,511.0
2024-09-05 04:00:00,735.0,356.6,1183.2,503.7,639.2,166.9,0.0,38.0,374.6,95.2,331.3,644.5,489.5,2085.4,1336.1,2957.0,125.3,71.0,1148.1,2079.7,495.9,798.9,4621.7,4617.9,1854.1,2248.5,3409.3,4530.4,2645.5,1941.1,1413.3,1375.4,901.9,2959.5,977.3,3431.1,1306.5,4172.4,6478.3,5009.7,1515.8,494.7
2024-09-05 05:00:00,786.9,375.7,1265.3,647.8,735.1,277.4,0.1,72.0,430.9,102.4,351.5,622.7,492.1,2806.8,1370.6,3133.5,144.8,0.0,1242.0,2393.1,530.5,816.5,4980.8,5096.8,2095.3,2292.2,3664.8,4599.6,2714.8,2051.8,1468.4,1381.9,959.3,3207.5,1022.0,3640.2,1345.3,4454.1,7200.3,5047.6,1670.9,503.1
2024-09-05 06:00:00,757.9,414.3,1207.2,623.3,806.2,304.2,0.0,67.0,535.4,384.6,388.9,708.2,496.7,4084.6,1428.8,3329.7,144.3,42.0,1388.6,2456.5,569.9,859.6,5228.7,5184.9,2474.7,2419.2,3634.4,4555.6,2849.2,2179.5,1563.4,1492.5,1050.3,3678.0,1049.8,3491.0,1416.7,4687.7,7792.7,5297.9,1840.2,497.4
2024-09-05 07:00:00,651.1,443.5,1092.0,504.6,796.9,347.1,0.0,57.0,509.7,43.3,480.2,743.2,506.7,4243.8,1247.5,3243.1,168.1,62.0,1477.1,2478.7,616.6,969.5,5308.5,4935.3,2580.5,2419.1,3624.3,4772.7,2908.1,2247.8,1569.5,1543.3,1079.6,3709.9,1070.1,3400.6,1445.6,4783.3,7836.8,5248.2,1895.8,475.7
2024-09-05 08:00:00,534.2,448.1,950.8,418.9,779.2,263.1,0.0,33.0,505.6,62.5,483.6,690.1,526.6,3546.6,994.8,2462.7,159.7,67.0,1479.3,2592.9,640.8,1110.5,5260.4,4808.0,2590.6,2392.3,3599.8,4425.6,2901.8,2265.7,1600.6,1759.5,1088.3,3905.7,1076.8,3155.4,1453.3,4804.8,7821.1,5232.8,1829.4,479.1
