date,EE_buy,EE_sell,LT_buy,LT_sell,LV_buy,LV_sell,AT_buy,AT_sell,BE_buy,BE_sell,FR_buy,FR_sell,GER_buy,GER_sell,NL_buy,NL_sell,PL_buy,PL_sell,DK1_buy,DK1_sell,DK2_buy,DK2_sell,FI_buy,FI_sell,NO1_buy,NO1_sell,NO2_buy,NO2_sell,NO3_buy,NO3_sell,NO4_buy,NO4_sell,NO5_buy,NO5_sell,SE1_buy,SE1_sell,SE2_buy,SE2_sell,SE3_buy,SE3_sell,SE4_buy,SE4_sell
2025-07-22 00:00:00,649.8,178.2,1034.5,157.9,569.9,534.0,75.0,13.5,404.5,28.6,201.3,2662.4,1538.2,2899.8,1123.4,330.4,243.6,47.4,959.3,266.1,394.6,89.0,4349.1,4082.8,1863.5,1290.0,3922.0,6745.7,2387.4,2889.4,1375.4,2186.4,1065.0,2898.4,942.3,2953.2,1260.8,5086.5,5804.9,4353.7,1484.9,183.2
2025-07-22 01:00:00,632.7,167.5,995.2,158.6,549.2,534.1,84.0,7.6,404.4,28.6,219.1,2672.5,1447.6,2934.0,1088.0,409.6,158.5,53.0,946.7,293.7,394.1,113.1,4201.0,4055.1,1753.3,1268.2,3786.4,6054.2,2346.4,2714.1,1344.7,2390.6,1043.8,2850.7,915.3,2618.2,1236.9,4835.7,5592.4,4355.1,1395.4,156.5
2025-07-22 02:00:00,626.3,164.8,981.8,161.5,537.7,534.1,176.0,0.0,378.1,28.6,193.9,2702.7,2003.3,2925.0,1072.9,472.8,162.3,46.6,930.3,232.9,385.5,121.6,4084.4,4022.5,1674.1,1248.8,3814.5,5667.4,2319.7,2590.6,1337.3,2406.6,1026.6,2810.2,901.4,2566.0,1219.0,4620.6,5476.8,4353.2,1361.3,169.6
2025-07-22 03:00:00,615.0,172.3,980.7,164.3,527.2,534.1,154.5,0.0,375.6,28.6,213.9,2732.4,1563.1,2971.1,1059.4,497.3,160.6,54.0,911.2,226.9,388.3,139.1,3987.0,3998.8,1640.9,1296.3,3787.4,5260.1,2298.9,2584.9,1323.1,2383.4,1018.4,2752.4,897.0,2521.4,1125.3,4473.0,5382.0,4372.3,1365.5,203.8
2025-07-22 04:00:00,624.4,172.4,1017.5,167.4,543.3,535.3,123.0,0.1,405.7,28.2,199.7,2728.4,1346.4,3039.4,1076.5,466.8,155.1,55.0,900.0,228.0,387.6,180.1,4140.6,3979.2,1584.1,1292.4,3695.0,4996.0,2307.6,2570.9,1318.9,2409.7,1010.3,2462.9,911.4,2697.4,1158.7,4577.4,5235.9,4426.4,1333.4,236.6
2025-07-22 05:00:00,654.6,170.1,1115.8,186.1,594.5,552.1,27.0,8.0,392.3,28.3,128.9,2699.3,1488.4,3165.2,1062.3,471.5,189.0,55.0,859.9,366.7,389.4,224.4,4497.6,4052.7,1615.1,1321.1,3629.6,5675.1,2314.3,2636.1,1321.6,2381.2,1010.9,2474.4,951.2,2951.5,1125.5,4640.0,5225.3,4455.4,1331.4,266.2
2025-07-22 06:00:00,695.6,174.4,1142.7,200.2,673.8,598.5,155.0,0.0,388.9,28.9,72.3,2659.6,1813.8,3316.8,1092.3,507.5,220.7,5.0,943.9,583.1,417.9,281.3,4775.9,3941.7,1753.1,1252.0,3392.6,6118.9,2370.5,2880.1,1331.0,2284.8,1045.8,2640.4,992.3,3190.9,1163.7,5362.8,5486.8,4468.3,1402.0,276.5
2025-07-22 07:00:00,728.3,191.5,1055.7,231.1,736.3,668.0,132.0,0.0,352.3,27.7,197.0,2628.9,2114.3,3700.3,1059.2,483.4,288.7,3.0,1061.2,480.1,461.3,280.8,4943.0,4100.0,1956.7,1281.8,4044.5,6237.0,2448.8,3095.1,1394.9,2345.7,1085.8,2713.0,1011.0,3366.0,1212.2,5669.1,5769.0,4442.8,1492.1,291.9
2025-07-22 08:00:00,694.6,202.1,878.1,285.8,754.2,735.3,98.0,11.1,307.1,39.7,139.1,2618.9,2212.8,4004.9,1844.3,1071.0,256.5,3.0,1135.4,342.2,502.3,278.9,5069.1,4262.3,2119.7,1265.9,4272.1,5658.1,2511.4,3165.5,1431.2,2430.5,1122.7,2679.5,1027.1,3486.6,1273.7,5608.7,5915.8,4604.0,1595.5,313.9
2025-07-22 09:00:00,648.1,236.7,724.1,355.3,730.8,634.7,63.0,19.0,238.9,61.3,110.9,2643.0,2775.0,4381.6,1790.9,830.0,274.4,4.0,1300.2,225.7,511.4,303.0,5131.4,4164.9,2209.7,1270.8,4177.4,4813.4,2578.9,3137.8,1429.2,2355.8,1146.3,2699.9,1044.6,3476.7,1281.5,5732.3,5989.6,4701.4,1599.6,357.8
