date,EE_buy,EE_sell,LT_buy,LT_sell,LV_buy,LV_sell,AT_buy,AT_sell,BE_buy,BE_sell,FR_buy,FR_sell,GER_buy,GER_sell,NL_buy,NL_sell,PL_buy,PL_sell,DK1_buy,DK1_sell,DK2_buy,DK2_sell,FI_buy,FI_sell,NO1_buy,NO1_sell,NO2_buy,NO2_sell,NO3_buy,NO3_sell,NO4_buy,NO4_sell,NO5_buy,NO5_sell,SE1_buy,SE1_sell,SE2_buy,SE2_sell,SE3_buy,SE3_sell,SE4_buy,SE4_sell
2026-08-20 00:00:00,658.1,188.7,882.6,816.1,604.0,44.9,58.8,9.1,298.4,26.5,306.0,1486.5,3765.0,3245.5,985.4,1395.8,158.4,0.2,1022.1,1017.9,481.8,875.3,4592.6,4844.9,2369.8,819.5,3924.9,5427.7,2857.2,2441.3,1563.3,3141.3,1089.2,3430.3,970.4,2566.5,1403.6,4091.3,7020.1,4706.9,1541.1,215.9
2026-08-20 00:15:00,657.2,186.4,870.4,804.9,595.4,44.0,58.8,9.2,296.3,26.5,279.5,1486.5,3768.1,3201.2,1002.4,1422.0,181.7,0.2,1024.6,998.7,473.3,875.4,4578.5,4850.9,2339.4,792.0,3917.2,5217.2,2874.9,2403.4,1539.7,3167.7,1065.7,3394.4,957.3,2566.7,1412.5,4074.6,6963.7,4674.3,1520.7,214.9
2026-08-20 00:30:00,672.5,185.6,861.4,795.8,587.5,45.4,59.4,9.2,291.3,26.5,270.2,1486.7,3975.4,3203.2,982.5,1419.7,184.4,0.2,1034.8,982.3,480.4,879.0,4562.8,4871.2,2307.9,772.0,3897.7,4687.6,2864.4,2395.0,1540.7,3158.8,1063.4,3336.1,949.0,2567.3,1417.5,4061.8,6920.0,4653.9,1511.8,213.8
2026-08-20 00:45:00,647.2,189.2,844.3,785.0,582.1,47.9,59.8,9.2,292.6,26.5,241.9,1490.0,3980.0,3197.0,998.2,1419.5,187.2,0.3,1045.0,967.9,489.0,880.5,4546.7,4879.1,2273.7,715.7,3887.6,4045.8,2855.1,2362.3,1539.6,3151.0,1053.8,3330.1,943.6,2567.9,1424.2,4045.8,6884.6,4652.5,1493.5,208.2
2026-08-20 01:00:00,637.4,205.4,855.4,774.8,576.5,49.8,79.8,2.2,313.0,5.8,199.6,1492.1,3874.9,3161.7,955.6,1424.7,143.4,0.1,1017.4,857.4,474.9,859.6,4503.6,4929.6,2227.0,720.0,3610.0,4610.2,2825.3,2393.7,1510.1,3100.1,1048.6,3236.1,932.1,2546.5,1414.2,3833.3,6817.3,4583.4,1466.9,244.0
2026-08-20 01:15:00,656.6,195.0,847.9,767.0,570.1,49.7,79.8,2.2,310.3,5.8,178.0,1491.5,3807.2,3152.3,929.6,1430.2,163.0,0.1,1018.0,847.1,477.5,852.8,4499.2,4947.6,2203.5,720.0,3601.0,4327.4,2819.8,2341.8,1505.8,3098.6,1032.7,3230.5,928.6,2547.0,1411.8,3826.1,6795.8,4581.6,1454.1,239.9
2026-08-20 01:30:00,653.2,191.2,839.3,757.8,564.8,51.0,79.6,2.2,308.8,5.8,183.0,1491.7,3890.1,3119.2,905.3,1438.4,142.5,0.1,1014.9,832.0,477.7,844.4,4483.5,4957.0,2185.2,720.0,3594.4,4254.0,2815.8,2328.9,1504.3,3095.4,1027.6,3223.1,926.3,2547.6,1411.2,3816.0,6797.9,4581.1,1445.4,243.0
2026-08-20 01:45:00,649.6,190.7,836.5,749.2,562.1,46.9,80.8,2.3,306.7,5.8,152.4,1492.1,3917.3,3110.2,897.1,1445.4,161.8,0.1,1014.5,812.9,479.0,834.5,4471.3,4964.6,2161.1,710.6,3586.6,4094.0,2811.7,2330.0,1505.5,3097.3,1038.1,3222.8,929.0,2548.3,1402.1,3754.1,6774.6,4580.1,1435.7,238.8
2026-08-20 02:00:00,631.5,205.7,831.2,737.0,559.4,47.7,66.3,9.7,308.2,4.9,189.9,1500.0,3909.1,3074.6,904.1,1471.1,68.7,20.9,1002.6,815.3,488.6,819.4,4466.3,5002.6,2132.7,708.6,3459.8,4102.3,2799.4,2353.1,1535.4,3087.7,1030.4,3141.1,931.5,2541.6,1397.8,3721.6,6705.5,4560.5,1419.7,238.9
2026-08-20 02:15:00,647.9,206.7,826.6,713.1,554.6,48.4,66.2,9.7,298.8,4.9,177.6,1500.7,3906.4,3059.5,886.5,1473.4,70.9,20.9,1006.0,806.8,493.9,807.3,4467.8,5008.5,2121.2,708.6,3455.7,4030.6,2793.4,2335.3,1532.0,3083.7,1024.7,3135.9,932.0,2542.4,1389.7,3715.6,6689.5,4547.7,1420.1,240.1
