date,EE,LT,LV,AT,BE,FR,GER,NL,PL,DK1,DK2,FI,NO1,NO2,NO3,NO4,NO5,SE1,SE2,SE3,SE4
2025-04-17 00:00:00,7.56,46.92,46.92,100.3,100.3,53.22,100.3,100.3,100.3,84.33,84.33,7.56,46.92,67.61,8.94,7.56,29.6,7.56,7.56,46.92,46.92
2025-04-17 00:15:00,7.56,46.92,46.92,95.09,95.09,95.09,95.09,95.09,96.07,84.33,84.33,7.56,46.92,67.61,8.94,7.56,29.6,7.56,7.56,46.92,46.92
2025-04-17 00:30:00,9.48,46.92,46.92,81.19,81.19,81.19,81.19,81.19,95.06,81.19,81.19,9.48,46.92,67.61,9.48,9.48,29.6,9.48,9.48,46.92,46.92
2025-04-17 00:45:00,9.48,46.92,46.92,74.12,74.12,33.14,74.12,74.12,94.19,74.12,74.12,9.48,46.92,74.12,9.48,9.48,29.6,9.48,9.48,46.92,46.92
2025-04-17 01:00:00,21.48,37.17,37.17,94.99,94.99,94.75,94.99,94.99,96.05,80.58,80.58,21.48,42.52,63.01,0.79,0.79,28.84,0.79,0.79,34.41,37.17
2025-04-17 01:15:00,21.48,46.42,46.42,84.29,84.29,68.77,84.29,84.29,96.04,80.58,80.58,21.48,46.42,63.01,5.91,5.91,28.84,5.91,5.91,46.42,46.42
2025-04-17 01:30:00,21.48,46.42,46.42,84.69,84.69,80.5,84.69,84.69,94.29,79.83,79.83,21.48,46.42,63.01,5.91,5.91,28.84,5.91,5.91,46.42,46.42
2025-04-17 01:45:00,21.48,46.42,46.42,78.96,78.96,27.59,78.96,78.96,93.2,78.96,78.96,21.48,46.42,78.96,5.91,5.91,28.84,5.91,5.91,46.42,46.42
2025-04-17 02:00:00,21.48,46.75,46.75,89.28,89.28,84.02,89.28,89.28,92.34,86.31,86.31,21.48,46.75,65.8,0.71,0.71,28.39,0.71,0.71,46.75,46.75
2025-04-17 02:15:00,21.48,46.75,46.75,83.65,83.65,62.71,83.65,83.65,91.0,83.65,83.65,21.48,46.75,65.8,5.91,5.91,28.39,5.91,5.91,46.75,46.75
2025-04-17 02:30:00,21.48,46.75,46.75,83.43,83.43,49.14,83.43,83.43,90.5,83.43,83.43,21.48,46.75,65.8,5.91,5.91,28.39,5.91,5.91,46.75,46.75
2025-04-17 02:45:00,21.48,46.75,46.75,81.12,81.12,42.53,81.12,81.12,90.49,81.12,81.12,21.48,46.75,65.8,5.91,5.91,28.39,5.91,5.91,46.75,46.75
2025-04-17 03:00:00,14.52,51.8,51.8,84.1,82.6,71.21,77.94,82.6,92.4,72.07,70.23,14.52,48.33,57.09,0.54,0.54,31.01,0.54,0.54,48.33,51.8
2025-04-17 03:15:00,21.98,51.8,51.8,83.02,83.02,45.21,83.02,83.02,92.43,72.07,70.23,21.98,48.33,57.09,0.54,0.54,31.01,0.54,0.54,48.33,51.8
2025-04-17 03:30:00,21.98,51.8,51.8,80.57,75.3,48.4,75.3,75.3,92.45,72.07,70.23,21.98,48.33,57.09,6.91,6.91,31.01,6.91,6.91,48.33,51.8
2025-04-17 03:45:00,21.98,51.8,51.8,84.94,84.94,20.1,84.94,84.94,92.41,72.07,70.23,21.98,48.33,57.09,6.91,6.91,31.01,6.91,6.91,48.33,51.8
2025-04-17 04:00:00,23.75,32.36,32.36,72.65,72.65,50.19,72.65,72.65,93.03,72.65,72.65,23.75,44.36,57.09,-1.48,-1.48,30.77,-1.48,-2.55,20.83,32.36
2025-04-17 04:15:00,23.75,38.13,38.13,79.54,79.54,40.73,79.54,79.54,94.46,73.49,73.49,23.75,44.36,57.09,-1.48,-1.48,30.77,-1.48,-2.55,20.83,38.13
2025-04-17 04:30:00,34.21,38.13,38.13,90.97,90.97,44.15,90.97,90.97,94.54,73.49,73.49,34.21,44.36,57.09,6.91,6.91,30.77,6.91,6.91,20.83,38.13
2025-04-17 04:45:00,34.21,38.13,38.13,94.21,94.21,42.53,94.21,94.21,96.69,73.49,73.49,34.21,44.36,57.09,6.91,6.91,30.77,6.91,6.91,20.83,38.13
2025-04-17 05:00:00,65.69,65.69,65.69,65.69,65.69,10.92,65.69,65.69,92.15,65.69,65.69,65.69,55.44,55.44,-1.48,-1.48,34.0,-1.48,-2.45,15.05,15.05
2025-04-17 05:15:00,80.1,80.1,80.1,80.1,80.1,39.61,80.1,80.1,80.6,80.1,80.1,80.1,46.05,55.44,-1.48,-1.48,34.0,-1.48,-2.45,45.14,45.14
2025-04-17 05:30:00,96.6,96.6,96.6,96.6,96.6,53.96,96.6,96.6,96.6,96.6,88.01,96.6,49.95,55.44,-1.48,-1.48,34.0,-1.48,-2.45,49.95,49.95
2025-04-17 05:45:00,104.05,104.05,104.05,104.05,107.69,79.56,107.69,107.69,104.05,107.69,88.01,104.05,51.08,107.69,6.91,6.91,34.0,6.91,6.91,51.08,73.53
2025-04-17 06:00:00,145.82,145.82,145.82,85.33,84.56,48.08,84.56,84.56,103.97,84.56,70.06,145.82,47.14,84.56,-0.77,-0.77,34.57,-0.77,-0.77,10.08,20.44
2025-04-17 06:15:00,145.82,145.82,145.82,104.4,104.4,84.14,104.4,104.4,104.4,104.4,79.06,145.82,47.14,104.4,-0.77,-0.77,34.57,-0.77,-0.77,15.07,33.71
2025-04-17 06:30:00,145.82,145.82,145.82,121.51,121.51,75.12,121.51,121.51,121.51,121.51,82.06,145.82,47.56,64.72,-0.77,-0.77,34.57,-0.77,-0.77,47.56,47.56
2025-04-17 06:45:00,145.82,145.82,145.82,131.8,131.8,86.65,131.8,131.8,131.8,131.8,82.57,145.82,53.23,64.72,-0.77,-0.77,34.57,-0.77,-0.77,53.23,82.57
2025-04-17 07:00:00,227.81,227.81,227.81,117.33,117.33,117.33,117.33,117.33,117.33,117.33,117.33,227.81,48.29,50.42,6.83,6.83,34.3,2.26,6.83,52.33,94.73
2025-04-17 07:15:00,227.81,227.81,227.81,121.43,121.43,112.3,121.43,121.43,121.43,121.43,121.43,227.81,48.29,50.42,6.83,6.83,34.3,2.26,6.83,52.33,94.74
2025-04-17 07:30:00,227.81,227.81,227.81,121.79,121.79,117.28,121.79,121.79,121.79,121.79,121.79,227.81,48.29,121.79,6.83,6.83,34.3,2.26,6.83,52.33,101.44
2025-04-17 07:45:00,227.81,227.81,227.81,122.69,122.69,122.69,122.69,122.69,122.69,122.69,122.69,227.81,48.29,122.69,6.83,6.83,34.3,2.26,6.83,52.33,101.44
