date,EE_buy,EE_sell,LT_buy,LT_sell,LV_buy,LV_sell,AT_buy,AT_sell,BE_buy,BE_sell,FR_buy,FR_sell,GER_buy,GER_sell,NL_buy,NL_sell,PL_buy,PL_sell,DK1_buy,DK1_sell,DK2_buy,DK2_sell,FI_buy,FI_sell,NO1_buy,NO1_sell,NO2_buy,NO2_sell,NO3_buy,NO3_sell,NO4_buy,NO4_sell,NO5_buy,NO5_sell,SE1_buy,SE1_sell,SE2_buy,SE2_sell,SE3_buy,SE3_sell,SE4_buy,SE4_sell
2025-07-31 00:00:00,0.0,0.0,0.8,0.0,0.0,0.0,0.0,2.5,9.0,13.0,37.0,0.0,37.4,100.2,9.4,6.1,9.4,1.1,0.0,0.0,0.0,0.0,0.0,6.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,6.1,0.0,5.0,0.0
2025-07-31 00:15:00,0.1,0.0,0.8,0.0,0.0,0.0,5.0,5.1,10.5,13.0,35.0,0.0,23.9,11.7,3.0,3.1,16.9,1.1,0.0,0.0,0.0,0.0,0.0,6.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,6.4,0.0,2.0,0.0
2025-07-31 00:30:00,0.1,0.0,0.9,0.0,0.0,0.0,6.6,5.0,0.0,37.4,30.0,2.2,10.2,25.2,5.2,4.1,10.7,0.0,0.0,0.0,0.0,0.0,0.0,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.4,2.0,0.0,2.0
2025-07-31 00:45:00,0.1,0.0,0.9,0.0,0.0,0.0,1.0,2.9,0.0,25.1,30.0,43.6,6.4,49.4,8.3,4.6,0.1,0.0,0.0,0.0,0.0,0.0,0.0,3.4,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,1.4,6.0,0.0,6.0
2025-07-31 01:00:00,0.4,0.0,0.4,0.0,0.0,0.0,3.8,0.8,7.9,0.0,30.2,20.0,45.5,18.8,11.0,2.5,14.2,2.1,0.0,0.0,0.0,0.0,0.0,4.3,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.5,2.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0
2025-07-31 01:15:00,0.4,0.0,0.4,0.0,0.0,0.0,2.2,0.0,8.2,0.0,30.2,5.5,14.8,16.8,4.8,0.2,11.5,1.1,0.0,0.0,0.0,0.0,0.0,8.1,0.2,0.0,0.0,0.0,0.0,1.2,0.0,1.3,2.0,2.0,0.0,0.0,0.8,0.0,2.0,0.0,2.0,0.0
2025-07-31 01:30:00,0.4,0.0,0.4,0.0,0.0,0.0,2.5,0.0,6.0,1.2,30.0,0.3,2.0,29.5,1.2,0.8,4.1,1.1,0.0,0.0,0.0,0.0,0.0,12.1,0.2,0.0,0.0,0.0,0.0,1.2,0.0,2.5,2.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,3.0
2025-07-31 01:45:00,0.5,0.0,0.4,0.0,0.0,0.0,9.6,0.0,0.0,0.7,30.0,0.5,26.4,46.8,5.8,2.6,3.3,1.1,0.0,0.0,0.0,0.0,0.0,15.3,0.2,0.0,0.0,0.0,10.0,0.0,0.0,3.7,2.0,2.0,0.0,0.0,3.2,0.0,0.0,4.0,0.0,4.0
2025-07-31 02:00:00,0.6,0.0,0.0,0.0,0.0,0.0,0.0,4.9,5.4,1.8,31.3,4.0,29.7,60.3,7.0,2.5,13.9,1.1,100.0,0.0,0.0,0.0,0.0,4.0,2.4,0.0,0.0,197.6,0.0,0.0,0.0,14.5,4.0,4.0,0.0,0.0,0.0,2.1,6.4,0.0,2.0,0.0
2025-07-31 02:15:00,0.7,0.0,0.1,0.0,0.0,0.0,3.0,0.0,5.7,0.0,38.5,0.0,12.3,46.4,8.2,0.0,10.0,1.1,100.0,0.0,0.0,0.0,0.0,4.0,2.4,0.0,0.0,89.6,0.0,0.0,0.0,14.5,4.0,4.0,0.0,0.0,0.0,2.1,3.4,0.0,0.0,0.0
2025-07-31 02:30:00,0.7,0.0,0.2,0.0,0.0,0.0,0.9,0.0,5.4,0.0,30.0,7.4,12.7,41.5,2.6,0.5,7.6,1.1,100.0,0.0,0.0,0.0,0.0,4.0,2.4,0.0,0.0,70.7,0.0,0.0,0.0,14.5,4.0,4.0,0.0,1.0,0.0,4.1,2.4,0.0,0.0,0.0
2025-07-31 02:45:00,0.8,0.0,0.2,0.0,0.0,0.0,1.0,0.0,6.7,0.0,30.0,12.6,22.7,16.0,0.0,3.2,5.7,1.1,100.0,0.0,0.0,0.0,0.0,0.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,14.5,4.0,4.0,0.0,0.0,0.0,4.2,0.4,2.0,0.0,2.0
2025-07-31 03:00:00,0.6,0.0,0.0,0.0,0.0,0.0,0.0,2.5,5.5,7.2,30.6,3.3,7.4,125.3,14.2,2.5,12.8,1.1,200.0,0.0,0.0,0.0,0.0,5.0,1.8,0.0,0.0,109.3,0.0,0.0,0.0,7.9,4.0,4.0,0.0,0.0,0.0,4.1,6.4,0.0,2.0,0.0
2025-07-31 03:15:00,0.6,0.0,0.2,0.0,0.0,0.0,0.9,1.1,2.5,2.4,30.6,1.7,7.1,116.5,6.8,0.0,12.8,1.1,200.0,0.0,0.0,0.0,0.0,4.0,1.8,0.0,0.0,57.5,0.0,0.0,0.0,7.9,4.0,4.0,0.0,0.0,0.0,5.1,5.4,0.0,0.0,0.0
2025-07-31 03:30:00,0.7,0.0,0.3,0.0,0.0,0.0,1.0,0.0,0.0,3.3,30.0,2.7,7.6,117.5,2.2,0.1,12.8,1.1,200.0,0.0,0.0,0.0,0.0,3.0,1.8,0.0,0.0,65.8,0.0,0.0,0.0,2.9,4.0,4.0,0.0,0.0,0.0,5.1,2.4,0.0,0.0,0.0
2025-07-31 03:45:00,0.7,0.0,0.4,0.0,0.0,0.0,0.9,0.8,0.0,6.4,30.0,4.3,11.0,114.9,1.6,4.3,12.8,1.1,200.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,0.0,40.3,0.2,0.0,0.0,2.9,4.0,4.0,0.0,0.0,0.0,4.6,0.4,2.0,0.0,2.0
2025-07-31 04:00:00,0.3,0.0,0.2,0.0,0.0,0.0,7.2,0.0,5.5,0.0,30.2,0.6,25.1,112.4,24.1,34.3,15.4,2.1,200.0,0.0,0.0,25.2,0.0,3.7,4.7,0.0,0.0,0.0,0.0,0.0,0.0,10.2,4.0,4.0,0.0,0.0,0.0,5.2,8.4,0.0,4.0,0.0
2025-07-31 04:15:00,0.2,0.0,0.3,0.0,0.0,0.0,6.5,0.0,3.7,1.5,30.2,0.0,8.0,117.1,16.9,30.9,13.0,1.0,200.0,0.0,0.0,25.2,0.0,0.0,4.7,0.0,0.0,36.0,0.0,0.0,0.0,8.0,4.0,4.0,0.0,0.0,0.0,2.1,3.4,0.0,2.0,0.0
2025-07-31 04:30:00,0.2,0.0,0.4,0.0,0.0,0.0,4.4,0.0,5.5,0.0,30.0,3.8,7.0,118.7,18.2,32.9,12.4,1.0,200.0,0.0,0.0,25.2,0.0,0.0,4.7,0.0,0.0,122.0,6.0,0.0,0.0,8.0,4.0,4.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,2.0
2025-07-31 04:45:00,0.2,0.0,0.5,0.0,0.0,0.0,0.0,0.8,10.4,0.0,30.0,0.3,14.9,155.5,14.3,44.0,12.0,1.0,200.0,0.0,0.0,25.2,0.0,0.0,4.7,0.0,0.0,203.9,6.0,0.0,0.0,8.0,4.0,4.0,0.0,0.0,0.0,0.0,0.4,4.0,0.0,4.0
2025-07-31 05:00:00,0.4,0.0,0.3,0.0,0.0,0.0,13.2,0.0,0.5,5.9,30.0,13.8,60.9,75.0,19.3,17.6,3.4,2.2,0.0,0.0,0.0,0.0,0.0,5.5,1.2,0.0,0.0,0.0,0.0,0.0,0.0,15.0,5.0,5.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.3
2025-07-31 05:15:00,0.2,0.0,0.4,0.0,0.0,0.0,6.3,5.0,0.5,1.1,33.3,20.4,5.4,58.8,12.6,9.0,0.0,1.7,0.0,0.0,0.0,0.0,0.0,3.3,1.2,0.0,0.0,0.0,0.0,0.0,0.0,15.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3
2025-07-31 05:30:00,0.0,0.0,0.5,0.0,0.0,0.0,0.0,5.8,7.1,0.0,36.5,0.0,13.7,58.2,14.1,6.4,8.4,2.1,0.0,0.0,0.0,0.0,0.0,5.2,1.2,0.0,0.0,0.0,0.0,0.0,0.0,15.0,5.0,5.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.3
2025-07-31 05:45:00,0.0,0.2,0.6,1.1,0.0,0.0,0.0,6.3,2.9,0.0,30.2,13.0,30.2,156.1,27.5,14.9,8.8,3.1,0.0,0.0,0.0,0.0,0.0,9.2,1.2,0.0,0.0,0.0,0.0,0.0,0.0,16.0,5.0,5.0,0.0,0.0,0.4,0.0,0.0,0.0,1.0,0.3
2025-07-31 06:00:00,0.8,0.0,0.2,0.0,0.0,0.0,23.2,0.0,20.7,9.3,30.0,13.8,28.4,75.6,17.5,21.8,5.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.5,2.3,7.0,0.0,0.0,0.0,2.9,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
2025-07-31 06:15:00,0.4,0.0,0.3,0.0,0.0,0.0,1.4,5.7,12.0,0.0,30.0,0.7,12.7,94.2,10.0,8.9,7.7,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.1,2.3,6.0,0.0,0.0,0.0,2.9,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3
2025-07-31 06:30:00,0.0,0.1,0.5,0.0,0.0,0.0,0.0,9.9,0.0,12.5,30.7,13.0,15.8,122.5,16.0,10.9,12.7,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.3,0.0,0.0,0.0,0.0,2.9,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-07-31 06:45:00,0.0,0.6,0.7,0.2,0.0,0.0,10.0,10.2,0.0,36.0,30.7,13.2,53.0,206.1,29.2,21.4,11.1,2.1,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,2.3,0.0,0.0,0.0,0.0,2.8,2.9,0.0,0.0,0.0,0.0,6.0,1.4,1.0,0.0
