date,EE,LT,LV,AT,BE,FR,GER,NL,PL,DK1,DK2,FI,NO1,NO2,NO3,NO4,NO5,SE1,SE2,SE3,SE4
2025-12-19 00:00:00,-8.02,12.0,12.0,114.9,19.65,19.65,19.65,14.79,90.94,14.79,14.79,-8.02,11.38,45.78,36.44,15.16,45.78,-8.02,6.38,9.35,12.0
2025-12-19 00:15:00,5.95,14.44,14.44,103.99,14.44,14.44,14.44,14.44,88.1,14.44,14.44,5.95,10.23,45.36,35.18,11.85,45.36,5.95,5.95,5.95,14.44
2025-12-19 00:30:00,-8.02,8.56,8.56,96.47,11.07,11.07,11.07,11.07,68.23,11.07,11.07,-8.02,8.56,44.14,33.34,14.73,44.14,-8.02,6.3,8.56,8.56
2025-12-19 00:45:00,2.09,2.09,2.09,95.42,9.29,9.29,9.29,9.29,72.17,9.29,9.29,2.09,5.74,43.48,31.79,15.29,43.48,2.09,2.09,2.09,2.09
2025-12-19 01:00:00,0.7,0.7,0.7,102.01,16.73,16.73,12.01,12.01,80.53,12.01,12.01,0.7,33.68,33.68,33.68,15.22,33.68,0.7,0.7,0.7,0.7
2025-12-19 01:15:00,0.73,0.73,0.73,96.58,12.39,12.39,8.01,8.01,75.7,8.01,8.01,-6.0,31.33,31.33,31.33,15.21,31.33,-6.0,0.73,0.73,0.73
2025-12-19 01:30:00,0.93,0.93,0.93,95.08,10.29,10.29,7.3,7.3,62.27,7.3,7.3,0.93,35.28,35.28,27.1,12.1,35.28,0.93,0.93,0.93,0.93
2025-12-19 01:45:00,3.01,3.01,3.01,93.1,9.79,11.03,9.7,9.7,56.7,9.7,9.7,3.01,27.21,27.21,27.21,15.21,27.21,3.01,3.01,3.01,3.01
2025-12-19 02:00:00,4.98,4.98,4.98,103.45,12.28,16.54,10.98,10.98,64.95,10.98,10.98,1.99,10.98,10.98,10.98,10.98,10.98,1.99,4.98,4.98,4.98
2025-12-19 02:15:00,5.92,5.92,5.92,103.77,11.02,11.04,8.49,8.49,59.65,8.49,8.49,-6.99,8.49,8.49,8.49,19.4,8.49,-6.99,5.92,5.92,5.92
2025-12-19 02:30:00,5.73,5.73,5.73,94.4,3.92,6.14,6.14,6.14,58.11,6.14,6.14,-5.0,6.14,6.14,6.14,19.5,6.14,-5.0,5.73,5.73,5.73
2025-12-19 02:45:00,4.11,4.11,4.11,92.0,-0.82,4.11,4.11,4.11,47.42,4.11,4.11,2.0,4.11,4.11,4.11,19.4,4.11,2.0,4.11,4.11,4.11
2025-12-19 03:00:00,5.27,5.27,5.27,97.99,4.93,6.05,6.05,6.05,51.56,6.05,6.05,-7.25,6.05,6.05,6.05,14.8,6.05,-7.25,5.27,5.27,5.27
2025-12-19 03:15:00,5.21,5.21,5.21,94.57,5.02,5.93,5.93,5.93,62.63,5.93,5.93,-8.0,5.93,5.93,5.93,19.25,5.93,-8.0,5.21,5.21,5.21
