date,EE_buy,EE_sell,LT_buy,LT_sell,LV_buy,LV_sell,AT_buy,AT_sell,BE_buy,BE_sell,FR_buy,FR_sell,GER_buy,GER_sell,NL_buy,NL_sell,PL_buy,PL_sell,DK1_buy,DK1_sell,DK2_buy,DK2_sell,FI_buy,FI_sell,NO1_buy,NO1_sell,NO2_buy,NO2_sell,NO3_buy,NO3_sell,NO4_buy,NO4_sell,NO5_buy,NO5_sell,SE1_buy,SE1_sell,SE2_buy,SE2_sell,SE3_buy,SE3_sell,SE4_buy,SE4_sell
2026-02-13 12:00:00,0.0,0.0,3.7,0.5,0.0,0.0,10.5,0.0,1.2,0.0,0.0,15.4,3.9,27.8,5.9,0.0,8.2,0.0,0.0,2.3,7.1,0.0,0.0,0.0,0.0,2.2,0.0,0.2,48.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,14.2,47.8,1.2,1.2,0.0,0.1
2026-02-13 12:15:00,0.0,0.0,4.6,0.6,0.0,0.0,10.6,0.0,0.2,2.3,0.0,23.9,0.3,3.2,0.0,1.9,7.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,0.0,0.3,31.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,20.1,40.0,2.3,1.3,0.0,0.1
2026-02-13 12:30:00,0.0,0.0,7.5,0.5,0.0,0.0,10.7,0.0,0.8,0.0,0.0,4.9,0.4,9.2,5.0,0.0,1.2,0.0,0.0,0.0,1.6,0.0,0.0,0.0,0.0,2.2,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,20.2,40.0,1.4,1.4,0.0,0.2
2026-02-13 12:45:00,0.0,0.0,1.5,0.5,0.0,0.0,10.0,0.1,1.2,0.0,0.0,21.9,0.0,31.1,6.2,0.0,0.0,3.1,0.0,0.0,4.1,0.0,0.0,1.0,0.0,2.2,2.6,0.5,49.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,14.1,45.7,1.6,1.6,0.0,0.3
2026-02-13 13:00:00,0.0,0.0,5.1,0.5,0.0,0.0,15.2,0.0,1.7,0.0,25.0,0.0,0.2,5.0,7.4,0.0,1.0,5.0,0.0,0.0,6.4,0.0,0.0,0.0,0.0,2.2,1.8,0.0,21.0,0.1,0.1,0.0,0.0,0.0,0.0,34.7,21.3,20.0,1.8,1.8,0.0,0.3
2026-02-13 13:15:00,0.0,0.0,11.3,0.5,0.0,0.0,10.0,0.2,1.3,0.0,0.0,22.8,0.0,32.9,6.2,0.0,2.2,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,2.2,2.5,0.2,35.0,0.0,0.0,0.1,0.0,3.0,0.0,34.7,16.0,20.0,1.7,1.7,0.0,0.2
2026-02-13 13:30:00,0.0,0.0,0.5,0.5,0.0,0.0,10.0,0.2,0.6,1.3,0.0,27.8,0.0,31.9,1.7,0.0,7.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,2.3,0.5,20.0,0.0,0.0,0.0,0.0,0.0,0.0,34.7,21.7,20.0,1.8,1.8,0.0,0.0
2026-02-13 13:45:00,0.0,0.0,0.4,0.4,0.0,0.0,40.8,0.0,1.4,0.0,0.0,0.5,60.2,0.1,5.6,0.0,3.0,6.9,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9,0.0,23.0,0.0,0.0,0.1,0.0,2.3,0.0,34.7,21.7,20.0,1.8,1.8,0.0,0.0
2026-02-13 14:00:00,0.0,0.0,0.4,0.4,0.0,0.0,45.8,0.0,21.7,0.2,0.0,27.9,71.2,0.0,2.4,0.0,9.1,0.0,70.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,19.4,25.8,2.0,2.0,0.0,0.0
2026-02-13 14:15:00,0.0,0.0,0.4,0.4,0.0,0.0,47.8,0.0,21.4,0.3,0.0,26.0,144.0,0.0,2.0,0.0,0.0,5.5,89.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,15.7,26.8,2.2,2.2,0.0,0.0
2026-02-13 14:30:00,0.0,0.0,0.3,0.3,0.0,0.0,49.9,0.0,21.4,0.0,0.0,26.0,69.3,0.0,3.5,0.0,1.1,4.4,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,15.7,31.8,2.1,2.1,0.0,0.0
2026-02-13 14:45:00,0.0,0.0,7.1,0.4,0.0,0.0,44.7,0.0,21.3,0.0,0.0,23.1,58.8,0.0,0.3,0.0,31.4,0.0,20.0,0.0,5.4,0.0,0.0,0.0,0.0,0.0,1.2,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,15.5,30.6,0.0,3.1,0.0,0.0
2026-02-13 15:00:00,0.0,0.0,0.3,0.3,0.0,0.0,49.0,0.5,5.2,0.0,0.0,18.1,15.4,0.0,2.0,0.0,1.3,1.3,48.0,0.0,0.5,0.0,0.0,0.0,0.0,4.3,15.4,0.0,5.7,0.0,0.0,0.0,9.0,9.0,0.0,0.0,6.0,7.4,1.1,1.6,0.0,0.0
2026-02-13 15:15:00,0.0,0.0,6.2,0.3,0.0,0.0,37.2,0.8,5.3,0.1,0.0,11.9,5.6,0.0,0.0,0.4,0.3,0.3,23.1,0.0,0.0,1.4,0.0,0.0,0.0,0.5,0.5,0.0,0.9,0.0,0.0,0.0,9.0,9.0,0.0,0.0,6.0,6.4,0.0,2.5,0.0,0.0
2026-02-13 15:30:00,0.0,0.0,0.6,0.2,0.0,0.0,10.9,0.8,5.8,0.0,0.0,32.6,5.9,0.2,2.8,0.0,0.0,1.8,20.0,0.0,0.0,0.4,0.0,0.0,0.0,0.5,0.4,0.4,1.1,0.0,0.0,0.0,4.0,4.0,0.0,0.0,6.0,6.6,1.7,1.7,0.0,0.0
2026-02-13 15:45:00,0.0,0.0,7.0,0.2,0.0,0.0,59.5,0.0,5.6,0.0,0.0,26.0,19.1,0.0,2.7,0.0,0.0,1.8,40.1,0.0,0.0,6.8,0.0,0.0,0.0,0.5,0.3,0.0,4.4,0.0,0.0,0.0,4.0,7.2,0.0,0.0,6.0,6.7,1.4,1.4,0.0,0.0
2026-02-13 16:00:00,0.0,0.0,18.2,0.3,0.0,0.0,10.0,1.1,1.4,0.0,0.0,21.2,0.0,9.2,7.5,0.0,0.0,2.7,20.0,0.0,0.0,0.0,0.0,5.8,0.0,0.2,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.1,6.9,0.0,4.1,0.0,0.0
2026-02-13 16:15:00,0.0,0.0,17.6,0.2,0.0,0.0,16.8,0.3,0.5,0.0,0.0,42.1,22.1,0.0,0.0,0.0,8.6,0.1,30.4,0.0,0.0,11.6,0.0,5.8,0.0,0.2,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.3,6.1,4.0,4.0,0.0,0.0
2026-02-13 16:30:00,0.0,0.0,17.9,0.2,0.0,0.0,13.7,0.6,0.4,0.0,0.0,32.8,16.1,0.0,0.6,0.0,8.1,0.0,20.0,0.0,0.0,11.6,0.0,6.0,0.0,0.2,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.3,7.1,4.4,4.4,0.0,0.1
2026-02-13 16:45:00,0.0,0.0,10.0,0.2,0.0,0.0,13.2,1.3,0.1,0.0,0.0,35.3,0.0,0.1,0.0,1.0,0.0,0.0,20.0,0.0,0.0,3.6,0.0,5.9,0.0,0.2,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5,7.3,3.5,3.7,0.0,0.1
