date,high,low,VWAP,open,close,VWAP1H,VWAP3H,buy_volume,sell_volume,transaction_volume,first_trade_date,last_trade_date
2026-09-06 00:00:00,317.19,-99.99,177.06,181.0,201.97,189.75,177.08,314.4,546.5,745.2,2026-09-05 17:35:48,2026-09-05 22:48:08
2026-09-06 01:00:00,191.34,144.51,171.65,176.4,144.57,159.49,171.76,416.6,578.6,733.4,2026-09-05 17:47:25,2026-09-05 23:44:50
2026-09-06 02:00:00,193.78,132.99,165.98,168.59,193.78,146.16,166.1,300.1,348.4,371.5,2026-09-05 15:20:45,2026-09-06 01:18:15
2026-09-06 03:00:00,169.67,130.86,148.52,153.74,130.86,141.6,146.35,276.6,297.6,427.5,2026-09-05 15:07:40,2026-09-06 01:44:31
2026-09-06 04:00:00,162.23,115.22,139.95,139.9,138.31,129.08,134.15,406.1,496.6,758.0,2026-09-05 14:20:03,2026-09-06 03:07:26
2026-09-06 05:00:00,160.11,97.59,131.41,141.18,106.3,105.39,122.73,560.3,805.8,1288.5,2026-09-05 14:22:50,2026-09-06 04:15:28
2026-09-06 06:00:00,158.05,87.19,124.34,142.15,104.9,96.12,108.72,734.6,905.8,1584.8,2026-09-05 14:30:46,2026-09-06 05:10:16
2026-09-06 07:00:00,159.76,71.8,109.16,137.03,74.61,92.87,97.84,1014.3,1034.2,1992.8,2026-09-05 15:12:32,2026-09-06 05:40:53
2026-09-06 08:00:00,145.41,20.13,69.78,140.3,36.42,56.56,59.06,958.0,1237.9,2100.5,2026-09-05 14:26:33,2026-09-06 06:44:22
2026-09-06 09:00:00,495.0,-9.91,14.99,87.37,495.0,59.05,10.88,990.0,1519.7,2346.7,2026-09-05 14:26:04,2026-09-06 08:40:25
2026-09-06 10:00:00,495.0,-234.33,-2.17,2.9,-5.5,28.35,-0.42,859.9,1337.2,2040.9,2026-09-05 14:48:24,2026-09-06 09:16:49
