date,high,low,VWAP,open,close,VWAP1H,VWAP3H,buy_volume,sell_volume,transaction_volume,first_trade_date,last_trade_date
2026-07-20 00:00:00,171.33,94.5,143.83,149.32,130.35,134.03,142.6,343.8,256.6,506.8,2026-07-19 14:24:03,2026-07-19 22:44:25
2026-07-20 01:00:00,151.87,89.24,135.91,144.4,133.16,132.98,135.13,254.2,206.7,436.0,2026-07-19 14:26:15,2026-07-19 23:44:43
2026-07-20 02:00:00,141.21,75.94,127.47,128.33,89.97,116.88,124.23,228.6,192.4,393.1,2026-07-19 14:50:01,2026-07-20 00:41:56
2026-07-20 03:00:00,139.38,103.2,121.35,125.1,121.0,116.66,118.52,228.2,188.2,390.3,2026-07-19 14:21:29,2026-07-20 01:44:55
2026-07-20 04:00:00,147.64,101.22,126.1,125.44,140.35,134.44,124.48,314.1,269.8,574.6,2026-07-19 14:39:46,2026-07-20 02:44:56
2026-07-20 05:00:00,147.42,112.8,134.63,136.01,129.2,134.46,135.52,293.7,246.2,525.1,2026-07-19 16:01:48,2026-07-20 03:44:02
2026-07-20 06:00:00,160.79,80.0,146.14,145.97,99.8,152.15,150.08,471.0,410.2,820.0,2026-07-19 14:33:04,2026-07-20 04:44:45
2026-07-20 07:00:00,165.73,99.47,150.12,142.13,140.52,143.61,151.31,390.9,299.0,626.8,2026-07-19 14:20:51,2026-07-20 05:44:50
2026-07-20 08:00:00,164.0,103.61,136.1,135.65,116.24,128.76,136.9,516.1,456.6,951.8,2026-07-19 14:53:05,2026-07-20 06:44:57
2026-07-20 09:00:00,132.46,65.22,102.74,100.98,65.22,86.22,102.83,569.6,622.5,1165.8,2026-07-19 14:25:06,2026-07-20 07:44:40
2026-07-20 10:00:00,100.7,9.7,66.32,84.29,12.19,22.96,62.69,755.8,834.1,1572.4,2026-07-19 14:20:10,2026-07-20 08:44:49
2026-07-20 11:00:00,66.4,-2.99,23.01,13.86,-1.63,1.0,17.66,446.4,750.5,1128.9,2026-07-19 14:21:21,2026-07-20 09:44:46
2026-07-20 12:00:00,46.07,-12.13,16.54,23.41,3.1,-0.1,6.44,430.7,701.7,1058.2,2026-07-19 14:28:27,2026-07-20 10:44:21
2026-07-20 13:00:00,30.18,-5.09,5.4,13.84,-1.33,1.17,-0.87,445.7,636.2,949.2,2026-07-19 14:30:12,2026-07-20 11:44:06
2026-07-20 14:00:00,45.31,-6.33,6.66,9.11,-0.4,-0.81,1.45,415.6,643.1,948.1,2026-07-19 14:20:10,2026-07-20 12:44:48
2026-07-20 15:00:00,69.25,-8.0,4.09,17.07,-4.24,-4.84,-1.66,344.8,611.1,872.9,2026-07-19 14:30:44,2026-07-20 13:44:50
2026-07-20 16:00:00,108.4,-6.31,8.03,52.9,-2.01,-3.17,0.13,384.1,763.0,1099.8,2026-07-19 14:21:08,2026-07-20 14:44:29
2026-07-20 17:00:00,115.0,-5.0,50.53,77.71,100.28,71.87,44.99,666.8,886.9,1494.1,2026-07-19 14:20:03,2026-07-20 15:44:58
2026-07-20 18:00:00,157.34,44.27,113.06,105.69,121.01,115.48,114.45,429.0,798.8,1019.7,2026-07-19 14:22:59,2026-07-20 16:44:57
2026-07-20 19:00:00,172.7,127.49,150.92,172.28,172.7,153.16,151.6,507.0,820.3,1268.2,2026-07-19 14:26:54,2026-07-20 17:44:39
2026-07-20 20:00:00,189.21,136.34,169.92,171.03,167.02,165.07,171.35,468.5,745.3,1165.2,2026-07-19 14:21:22,2026-07-20 18:44:51
2026-07-20 21:00:00,190.0,160.2,172.6,176.15,189.67,174.76,173.74,622.1,749.1,1288.3,2026-07-19 14:21:01,2026-07-20 19:44:43
2026-07-20 22:00:00,211.61,151.33,170.88,170.09,167.15,167.8,175.15,556.0,807.5,1344.3,2026-07-19 14:38:09,2026-07-20 20:44:58
2026-07-20 23:00:00,235.85,131.45,158.2,164.56,166.33,166.64,162.4,423.1,754.9,1030.5,2026-07-19 14:32:52,2026-07-20 21:44:35
2026-07-21 00:00:00,175.42,110.23,154.77,143.49,159.08,158.4,158.44,246.3,136.7,373.7,2026-07-20 15:00:24,2026-07-20 22:44:46
2026-07-21 01:00:00,172.61,139.22,157.95,140.5,168.77,166.97,161.32,283.2,195.7,473.8,2026-07-20 15:10:13,2026-07-20 23:44:52
2026-07-21 02:00:00,168.6,134.1,157.48,143.4,164.56,159.56,160.44,329.4,283.0,595.2,2026-07-20 14:47:06,2026-07-21 00:44:26
2026-07-21 03:00:00,169.01,133.7,155.34,138.9,158.83,160.79,159.0,235.6,206.8,438.4,2026-07-20 14:21:26,2026-07-21 01:44:46
2026-07-21 04:00:00,174.1,134.51,154.63,140.95,173.3,161.61,158.93,208.7,196.7,400.8,2026-07-20 14:21:29,2026-07-21 02:44:32
