date,high,low,VWAP,open,close,VWAP1H,VWAP3H,buy_volume,sell_volume,transaction_volume,first_trade_date,last_trade_date
2026-07-31 00:00:00,60.4,-4.7,6.05,17.3,1.02,0.91,4.74,35.5,19.9,55.4,2026-07-30 16:25:13,2026-07-30 23:14:45
2026-07-31 01:00:00,6.46,-11.6,2.63,2.4,-11.6,1.31,2.06,37.6,23.2,60.3,2026-07-30 16:35:12,2026-07-31 00:14:27
2026-07-31 02:00:00,4.96,-20.0,1.31,-2.63,-0.1,-2.69,0.25,27.4,30.8,57.6,2026-07-30 16:00:01,2026-07-31 01:12:07
2026-07-31 03:00:00,5.68,-6.98,1.58,1.63,-2.2,0.94,1.05,21.9,27.9,49.8,2026-07-30 14:34:47,2026-07-31 02:14:16
2026-07-31 04:00:00,5.2,-7.9,1.32,5.2,-0.01,-3.2,-0.76,25.0,25.0,49.5,2026-07-30 18:49:16,2026-07-31 03:00:02
2026-07-31 05:00:00,5.56,-72.36,0.04,0.0,-0.02,-9.03,-0.87,18.7,8.5,27.2,2026-07-30 18:33:35,2026-07-31 04:00:05
2026-07-31 06:00:00,14.25,-5.33,2.24,5.33,14.25,1.81,1.51,14.8,20.6,35.3,2026-07-30 18:08:20,2026-07-31 05:14:35
2026-07-31 07:00:00,31.14,-1.09,10.17,6.57,20.1,15.84,12.12,13.2,32.4,45.6,2026-07-30 18:08:29,2026-07-31 06:14:52
2026-07-31 08:00:00,35.28,0.91,18.58,8.13,17.1,23.49,19.4,35.6,73.1,108.3,2026-07-30 18:10:19,2026-07-31 07:14:37
2026-07-31 09:00:00,31.41,-8.0,17.7,6.31,0.0,16.82,18.12,66.4,79.2,139.8,2026-07-31 00:00:00,2026-07-31 08:11:11
2026-07-31 10:00:00,23.36,-14.04,6.16,7.35,-5.0,2.59,6.27,31.7,75.9,106.1,2026-07-31 00:57:23,2026-07-31 09:11:40
2026-07-31 11:00:00,12.98,-16.72,4.43,4.49,1.76,1.3,3.96,30.1,79.0,109.1,2026-07-31 01:49:17,2026-07-31 10:13:30
2026-07-31 12:00:00,12.11,-20.69,3.42,-0.2,3.3,1.22,1.79,22.5,100.0,120.0,2026-07-31 02:27:52,2026-07-31 11:12:59
2026-07-31 13:00:00,12.62,-15.14,3.67,1.71,0.01,2.44,2.4,36.3,138.5,173.6,2026-07-31 04:00:34,2026-07-31 12:13:30
2026-07-31 14:00:00,15.61,-0.8,4.76,2.97,0.0,4.72,4.02,41.2,126.4,164.8,2026-07-31 05:00:03,2026-07-31 13:12:03
2026-07-31 15:00:00,31.49,2.07,11.3,10.43,25.69,14.2,12.05,23.0,102.9,124.6,2026-07-31 05:49:16,2026-07-31 14:09:07
2026-07-31 16:00:00,53.01,2.41,22.76,3.38,33.91,34.72,28.38,30.3,118.2,146.0,2026-07-30 16:46:19,2026-07-31 15:05:04
2026-07-31 17:00:00,93.26,13.63,51.04,56.19,63.81,51.78,52.31,54.1,135.3,173.0,2026-07-31 07:36:38,2026-07-31 16:14:23
2026-07-31 18:00:00,126.08,11.1,52.14,23.86,60.0,44.33,53.31,62.0,48.3,89.8,2026-07-30 14:20:10,2026-07-31 17:13:08
2026-07-31 19:00:00,119.28,15.0,82.48,34.74,37.51,81.79,86.78,40.8,21.7,60.6,2026-07-30 15:32:19,2026-07-31 18:10:04
2026-07-31 20:00:00,161.0,25.0,63.73,91.48,120.0,48.73,58.61,28.8,31.4,46.2,2026-07-31 10:35:45,2026-07-31 19:14:50
2026-07-31 21:00:00,156.63,24.52,65.29,111.14,109.9,71.47,60.09,69.6,39.7,92.7,2026-07-31 12:15:55,2026-07-31 20:14:29
2026-07-31 22:00:00,141.81,16.28,73.95,89.2,25.0,48.2,69.62,65.2,27.5,88.8,2026-07-31 07:32:41,2026-07-31 21:14:43
2026-07-31 23:00:00,125.0,-37.04,49.64,89.72,38.53,37.64,42.12,59.3,30.2,80.7,2026-07-31 15:50:56,2026-07-31 22:13:26
2026-08-01 00:00:00,60.0,12.21,28.52,20.85,58.08,29.27,27.79,52.6,32.8,84.7,2026-07-31 16:50:44,2026-07-31 22:59:24
2026-08-01 01:00:00,65.0,19.24,40.03,36.68,30.31,35.9,40.06,57.3,26.5,76.6,2026-07-31 14:20:34,2026-08-01 00:14:53
2026-08-01 02:00:00,59.0,6.65,37.15,38.11,31.77,37.87,37.18,37.4,46.3,83.6,2026-07-31 14:20:37,2026-08-01 01:14:44
2026-08-01 03:00:00,79.0,21.31,35.06,37.61,79.0,42.75,36.41,36.4,41.3,76.4,2026-07-31 14:20:41,2026-08-01 01:59:23
2026-08-01 04:00:00,117.04,23.21,41.22,38.81,60.82,58.36,48.24,30.3,41.6,70.8,2026-07-31 14:20:43,2026-08-01 03:06:45
2026-08-01 05:00:00,124.87,29.61,48.2,40.06,29.61,53.85,53.35,51.9,41.8,92.3,2026-07-31 15:30:30,2026-08-01 04:14:46
2026-08-01 06:00:00,82.58,35.0,50.5,38.17,40.01,40.68,51.58,32.0,15.6,47.3,2026-07-31 16:06:29,2026-08-01 05:11:08
