date,high,low,VWAP,open,close,VWAP1H,VWAP3H,buy_volume,sell_volume,transaction_volume,first_trade_date,last_trade_date
2024-09-08 00:00:00,120.22,72.56,93.59,94.0,90.74,90.96,94.32,3710.4,4020.4,4984.0,07.09.2024 14:31:06,07.09.2024 22:42:52
2024-09-08 01:00:00,115.54,45.55,86.53,88.39,74.85,87.73,85.77,2926.5,2754.7,3921.6,07.09.2024 14:38:10,07.09.2024 23:44:35
2024-09-08 02:00:00,111.45,69.01,85.42,85.45,111.45,86.21,86.62,2567.1,2677.1,3575.6,07.09.2024 14:42:03,08.09.2024 01:18:56
2024-09-08 03:00:00,116.84,68.27,85.26,83.26,116.84,91.61,86.89,3047.0,3052.4,4192.6,07.09.2024 14:38:01,08.09.2024 02:20:10
2024-09-08 04:00:00,106.39,68.81,86.03,86.5,106.39,91.41,87.18,3548.5,3816.1,4992.5,07.09.2024 14:43:51,08.09.2024 03:20:07
2024-09-08 05:00:00,103.47,68.84,89.78,87.82,82.0,90.25,92.0,3208.8,3272.0,4643.1,07.09.2024 14:54:12,08.09.2024 03:44:40
2024-09-08 06:00:00,118.52,67.58,89.39,84.4,115.12,89.01,90.16,3339.7,3277.4,4946.9,07.09.2024 14:45:13,08.09.2024 05:36:07
2024-09-08 07:00:00,119.28,62.58,89.65,83.2,87.31,91.2,91.68,3417.6,3387.2,4666.1,07.09.2024 16:16:07,08.09.2024 05:43:45
2024-09-08 08:00:00,117.75,10.67,81.93,80.27,38.48,66.88,83.25,3414.2,3252.4,4605.2,07.09.2024 14:51:19,08.09.2024 07:35:07
2024-09-08 09:00:00,92.49,-17.77,46.72,70.0,73.0,11.01,46.05,3227.7,3375.7,4552.0,07.09.2024 14:25:17,08.09.2024 08:07:25
2024-09-08 10:00:00,92.9,-36.24,16.95,-21.2,20.4,-0.56,17.08,4709.2,4554.8,7158.2,07.09.2024 14:26:39,08.09.2024 08:58:55
2024-09-08 11:00:00,49.33,-35.6,1.92,26.95,-24.08,-22.31,1.55,4813.7,3657.7,6504.7,07.09.2024 14:47:47,08.09.2024 09:44:16
2024-09-08 12:00:00,34.43,-48.77,0.17,-0.31,-13.2,-5.42,0.51,5069.7,3566.0,6598.0,07.09.2024 14:32:05,08.09.2024 10:44:55
2024-09-08 13:00:00,40.0,-29.23,-0.79,0.82,0.3,1.89,-0.22,5432.0,3797.7,6959.7,07.09.2024 14:47:28,08.09.2024 12:08:53
2024-09-08 14:00:00,56.32,-38.11,2.44,-7.01,24.96,20.43,4.1,7866.0,5411.8,9622.9,07.09.2024 14:25:15,08.09.2024 12:44:11
2024-09-08 15:00:00,90.0,-47.7,21.74,-45.58,-21.08,57.54,32.15,8837.4,6934.6,11044.2,07.09.2024 16:08:57,08.09.2024 13:51:07
2024-09-08 16:00:00,125.43,7.73,74.73,19.55,82.78,89.34,77.52,7592.8,7184.2,9361.0,07.09.2024 15:06:38,08.09.2024 14:44:47
