date,high,low,VWAP,open,close,VWAP1H,VWAP3H,buy_volume,sell_volume,transaction_volume,first_trade_date,last_trade_date
2024-09-05 23:00:00,30.0,5.75,20.82,16.0,5.75,,21.27,15.0,4.0,16.4,,
2024-09-05 00:00:00,15.0,-1.2,6.24,8.0,-1.2,,5.49,34.1,11.3,38.9,,
2024-09-05 01:00:00,54.1,0.08,15.62,9.92,12.0,,17.42,35.0,14.8,36.9,,
2024-09-05 02:00:00,19.99,-5.1,5.49,19.99,-5.1,,5.49,13.2,19.9,33.1,,
2024-09-05 03:00:00,87.38,40.0,71.23,87.38,83.31,,71.67,11.4,20.5,31.4,,
2024-09-05 04:00:00,97.55,83.5,88.13,88.0,83.77,,84.21,10.5,21.8,32.3,,
2024-09-05 05:00:00,128.4,116.1,122.45,125.0,125.02,,119.19,9.1,18.2,27.3,,
2024-09-05 06:00:00,129.8,107.0,122.27,129.8,107.0,,119.35,20.2,17.0,37.2,,
2024-09-05 07:00:00,124.04,68.0,104.46,119.25,82.0,,87.6,79.1,181.2,240.6,,
2024-09-05 08:00:00,94.5,36.56,64.09,91.56,54.58,,59.47,88.2,26.1,106.1,,
2024-09-05 09:00:00,54.75,27.5,38.6,54.75,32.7,,35.08,71.2,30.5,97.9,,
2024-09-05 10:00:00,43.25,20.0,33.86,36.68,37.99,,33.04,10.0,28.9,38.9,,
2024-09-05 11:00:00,50.0,20.0,36.95,50.0,34.6,,34.51,7.0,69.0,69.0,,
2024-09-05 12:00:00,41.34,3.17,30.85,34.98,5.0,,25.25,6.0,56.2,58.2,,
2024-09-05 13:00:00,41.87,15.0,22.49,38.45,18.0,,21.61,5.0,90.2,95.2,,
2024-09-05 14:00:00,40.18,11.25,22.97,35.24,15.0,,20.14,2.0,44.0,46.0,,
2024-09-05 15:00:00,59.5,39.84,49.19,59.5,39.84,,48.11,3.4,43.2,46.6,,
2024-09-05 16:00:00,108.51,55.0,86.94,107.89,55.2,,69.54,10.0,105.8,110.8,,
2024-09-05 17:00:00,195.97,60.8,113.05,195.97,73.59,,91.92,5.9,75.7,77.5,,
2024-09-05 18:00:00,219.99,130.11,154.15,219.99,146.01,,140.24,6.6,66.5,73.1,,
2024-09-05 19:00:00,126.63,90.0,104.36,126.63,99.99,,99.19,10.0,81.9,91.9,,
2024-09-05 20:00:00,77.0,36.81,61.58,77.0,51.99,,52.21,8.8,237.0,237.8,,
2024-09-05 21:00:00,42.0,-1.1,16.87,37.0,-1.1,,11.45,10.3,20.4,30.7,,
2024-09-05 22:00:00,36.33,-5.0,13.79,36.33,0.2,,2.25,6.0,16.4,22.4,,
2024-09-05 00:00:00,,,,,,,,,,,,
2024-09-06 23:00:00,19.81,-8.7,1.32,19.81,-4.07,,-3.25,8.0,50.7,58.7,,
2024-09-06 00:00:00,13.0,-8.7,3.85,13.0,-8.7,,-0.64,0.0,10.2,10.2,,
2024-09-06 01:00:00,13.34,-3.11,2.42,13.34,-3.0,,-1.05,13.0,6.3,19.3,,
2024-09-06 02:00:00,18.9,4.59,8.89,12.1,11.68,,8.66,23.6,6.9,30.5,,
2024-09-06 03:00:00,86.0,16.34,70.66,71.41,76.0,,73.9,44.0,11.0,48.0,,
2024-09-06 04:00:00,92.0,78.5,82.57,81.85,92.0,,84.94,61.9,176.5,231.8,,
2024-09-06 05:00:00,122.51,94.3,108.0,94.3,97.56,,107.46,73.0,17.0,78.4,,
2024-09-06 06:00:00,170.39,112.82,126.83,122.69,130.0,,129.35,52.8,9.2,62.0,,
2024-09-06 07:00:00,121.87,59.0,90.84,121.87,59.0,,89.14,62.8,33.9,96.2,,
2024-09-06 08:00:00,109.25,50.0,66.71,109.25,50.04,,60.82,55.0,112.6,160.0,,
2024-09-06 09:00:00,63.5,38.31,50.14,63.5,59.96,,47.81,25.6,75.9,101.0,,
2024-09-06 10:00:00,41.11,16.49,29.12,40.34,18.54,,22.96,16.6,35.4,52.0,,
2024-09-06 11:00:00,38.12,1.0,4.81,5.3,5.0,,4.38,11.8,102.2,110.0,,
2024-09-06 12:00:00,42.66,-7.0,-0.8,7.95,-7.0,,-1.14,4.0,123.3,127.3,,
2024-09-06 13:00:00,7.76,-10.0,-5.62,7.76,-4.58,,-6.57,5.0,142.7,147.7,,
2024-09-06 14:00:00,35.79,-8.0,-3.34,10.0,-8.0,,-5.87,17.0,138.4,155.4,,
2024-09-06 15:00:00,57.49,-8.0,1.5,57.49,-5.0,,-2.9,36.8,70.3,98.0,,
2024-09-06 16:00:00,65.36,50.0,57.29,65.36,50.0,,55.09,0.1,35.6,35.6,,
2024-09-06 17:00:00,158.99,111.01,125.5,126.53,115.04,,123.86,4.9,44.9,44.9,,
2024-09-06 18:00:00,159.6,67.21,105.41,159.6,78.0,,73.79,10.6,38.3,45.3,,
2024-09-06 19:00:00,100.0,64.45,87.91,97.0,77.1,,76.6,16.2,77.4,93.6,,
2024-09-06 20:00:00,78.0,43.72,70.96,78.0,43.94,,62.05,6.9,258.3,265.2,,
2024-09-06 21:00:00,81.0,-0.2,45.83,42.82,5.0,,34.83,25.9,95.6,116.7,,
2024-09-06 22:00:00,19.0,-10.0,4.73,19.0,-10.0,,3.3,8.2,19.4,22.4,,
2024-09-06 00:00:00,,,,,,,,,,,,
2024-09-07 23:00:00,-1.5,-17.0,-11.57,-1.5,-17.0,,-11.57,0.0,17.3,17.3,,
2024-09-07 00:00:00,2.0,-24.4,-7.2,2.0,-24.4,,-7.2,9.2,20.0,27.7,,
2024-09-07 01:00:00,2.0,-10.0,-4.77,2.0,-4.06,,-7.01,20.3,36.2,56.0,,
2024-09-07 02:00:00,2.0,-10.0,-2.74,2.0,-1.3,,-3.24,27.1,43.6,69.8,,
2024-09-07 03:00:00,2.99,-10.0,-2.64,-4.74,-10.0,,-1.83,32.0,40.9,71.9,,
2024-09-07 04:00:00,22.0,-17.0,4.88,-1.78,22.0,,4.88,50.0,20.0,59.9,,
2024-09-07 05:00:00,69.0,2.05,24.59,69.0,2.05,,10.64,33.5,23.5,36.8,,
2024-09-07 06:00:00,4.98,-4.3,1.72,4.98,-4.3,,0.74,3.0,18.6,21.5,,
2024-09-07 07:00:00,8.4,-6.7,4.01,8.3,-6.7,,-2.11,7.0,10.1,17.1,,
2024-09-07 08:00:00,16.95,2.0,6.86,16.95,5.1,,5.99,57.7,5.0,62.7,,
2024-09-07 09:00:00,8.03,3.18,5.58,5.58,5.09,,4.54,152.6,15.9,166.5,,
2024-09-07 10:00:00,17.56,-2.04,5.17,5.66,17.56,,3.06,131.6,17.6,142.9,,
2024-09-07 11:00:00,9.18,-6.0,2.68,5.27,-5.0,,1.81,51.0,73.2,124.2,,
2024-09-07 12:00:00,5.0,-7.0,-3.45,0.74,-6.1,,-4.56,12.6,123.9,136.5,,
2024-09-07 13:00:00,4.77,-4.98,-2.19,1.74,-2.0,,-2.61,0.3,80.3,80.6,,
2024-09-07 14:00:00,12.1,0.0,3.95,8.17,2.0,,0.72,117.6,216.7,317.9,,
2024-09-07 15:00:00,76.83,51.22,65.53,76.83,69.34,,68.24,21.3,85.3,106.6,,
2024-09-07 16:00:00,144.0,50.1,98.74,118.68,50.1,,91.41,31.4,69.6,77.0,,
2024-09-07 17:00:00,164.78,56.3,121.34,140.0,164.78,,113.18,33.5,59.5,80.3,,
2024-09-07 18:00:00,165.61,80.0,141.27,80.0,90.26,,123.02,14.6,14.1,23.7,,
2024-09-07 19:00:00,141.13,60.3,113.86,70.92,141.13,,124.22,69.1,34.4,77.6,,
2024-09-07 20:00:00,62.18,25.01,50.27,50.11,32.0,,50.27,41.5,42.3,80.6,,
2024-09-07 21:00:00,42.02,-3.6,22.27,41.3,-3.6,,13.13,0.0,90.4,90.4,,
2024-09-07 22:00:00,4.99,-20.0,-5.05,4.99,-20.0,,-5.05,17.0,38.1,48.1,,
2024-09-07 00:00:00,,,,,,,,,,,,
2024-09-08 23:00:00,4.83,-19.74,-11.77,4.83,-15.0,,-12.27,1.9,75.5,75.5,,
2024-09-08 00:00:00,4.69,-15.5,-11.53,4.69,-15.5,,-12.01,8.9,91.0,99.9,,
2024-09-08 01:00:00,-1.0,-12.0,-7.52,-2.58,-10.0,,-10.42,22.0,55.8,75.8,,
2024-09-08 02:00:00,0.0,-12.09,-8.23,0.0,-10.0,,-9.36,13.6,41.7,55.3,,
2024-09-08 03:00:00,-0.01,-12.9,-5.81,-2.4,-3.0,,-6.12,9.0,38.5,42.4,,
2024-09-08 04:00:00,2.6,-10.3,-6.61,2.6,-4.99,,-5.1,13.2,28.6,41.8,,
2024-09-08 05:00:00,-2.8,-16.64,-8.26,-2.8,-15.0,,-10.01,20.2,37.4,57.5,,
2024-09-08 06:00:00,3.48,-15.3,-6.23,1.69,-10.0,,-9.24,4.9,35.3,39.3,,
2024-09-08 07:00:00,39.99,-10.0,-4.6,39.99,-8.0,,-4.9,29.0,106.2,122.2,,
2024-09-08 08:00:00,9.99,-14.29,-4.01,7.32,-14.29,,-4.03,29.5,58.2,83.5,,
2024-09-08 09:00:00,1.78,-14.09,-6.09,1.78,-4.58,,-7.14,39.4,75.4,104.0,,
2024-09-08 10:00:00,6.0,-1.5,2.29,2.12,6.0,,2.38,67.0,39.2,106.2,,
2024-09-08 11:00:00,2.01,-0.67,0.54,-0.09,2.0,,0.66,12.1,78.9,91.0,,
2024-09-08 12:00:00,1.0,-2.41,-0.3,-0.94,-1.18,,-0.22,18.6,63.4,82.0,,
2024-09-08 13:00:00,4.99,-1.66,1.39,0.23,0.0,,1.27,22.3,120.5,142.8,,
2024-09-08 14:00:00,2.3,-10.0,-4.02,1.38,-7.0,,-5.55,62.1,101.9,156.0,,
2024-09-08 15:00:00,35.99,-0.54,15.61,26.0,1.9,,14.97,3.8,79.7,83.5,,
2024-09-08 16:00:00,48.0,5.3,32.41,48.0,5.3,,32.41,12.0,77.4,80.2,,
2024-09-08 17:00:00,63.59,5.0,35.14,63.59,25.0,,33.29,2.0,60.3,62.3,,
2024-09-08 18:00:00,28.99,0.7,8.49,28.99,2.9,,8.27,17.4,49.0,65.2,,
2024-09-08 19:00:00,0.57,-6.28,-2.4,0.57,-5.2,,-2.4,2.0,67.9,69.9,,
2024-09-08 20:00:00,5.0,-13.42,-7.25,5.0,-5.2,,-7.34,6.4,165.7,167.9,,
2024-09-08 21:00:00,-3.59,-35.35,-16.1,-6.39,-35.35,,-17.14,24.0,131.5,155.5,,
2024-09-08 22:00:00,-7.95,-25.0,-17.38,-7.95,-25.0,,-19.21,24.0,96.9,103.4,,
2024-09-08 00:00:00,,,,,,,,,,,,
2024-09-09 23:00:00,1.0,-40.89,-23.64,1.0,-35.01,,-23.69,12.1,48.9,55.1,,
2024-09-09 00:00:00,-1.0,-50.09,-28.21,-1.0,-30.01,,-32.86,19.4,48.8,65.3,,
2024-09-09 01:00:00,0.0,-103.99,-34.5,-17.47,-40.04,,-43.36,8.2,22.6,29.8,,
2024-09-09 02:00:00,-1.0,-33.8,-16.53,-17.47,-10.2,,-16.35,31.1,36.3,62.2,,
2024-09-09 03:00:00,-5.95,-24.9,-12.15,-9.69,-10.0,,-9.41,24.8,46.9,71.7,,
2024-09-09 04:00:00,-2.0,-15.0,-6.44,-9.55,-15.0,,-6.39,24.9,61.7,78.1,,
2024-09-09 05:00:00,15.01,-5.5,1.16,5.0,-5.0,,0.73,79.6,98.8,155.4,,
2024-09-09 06:00:00,5.0,-10.0,-3.47,3.99,-9.7,,-3.97,58.9,94.1,134.9,,
2024-09-09 07:00:00,81.99,1.31,36.09,5.0,33.6,,36.09,18.5,78.0,96.5,,
2024-09-09 08:00:00,154.21,11.58,69.96,11.58,60.0,,69.96,38.5,158.9,197.4,,
2024-09-09 09:00:00,141.26,3.93,87.27,3.93,125.53,,94.71,66.6,162.6,226.3,,
2024-09-09 10:00:00,81.24,-2.15,27.21,1.68,5.0,,15.24,73.5,135.0,167.2,,
2024-09-09 11:00:00,29.9,-5.0,2.49,1.4,-3.98,,-1.55,104.5,201.4,288.8,,
2024-09-09 12:00:00,18.42,-8.0,0.12,3.41,-8.0,,-3.65,75.8,203.3,277.1,,
2024-09-09 13:00:00,17.0,-5.45,2.05,3.47,1.24,,-2.69,81.9,220.5,288.4,,
2024-09-09 14:00:00,50.0,-5.0,3.95,1.81,-0.41,,-3.09,25.4,127.0,139.7,,
2024-09-09 15:00:00,50.5,-5.0,20.97,25.01,-5.0,,-3.3,14.0,102.0,111.0,,
2024-09-09 16:00:00,73.51,-0.39,26.08,18.0,-0.39,,2.36,36.5,62.7,89.4,,
2024-09-09 17:00:00,60.0,2.16,24.0,19.2,2.16,,2.16,20.0,54.0,64.0,,
2024-09-09 18:00:00,19.01,3.5,8.02,9.0,3.5,,4.62,3.7,31.1,33.4,,
2024-09-09 19:00:00,0.99,0.84,0.94,0.99,0.84,,,0.0,20.6,20.6,,
2024-09-09 20:00:00,5.0,-1.35,0.53,5.0,-0.33,,,3.4,29.1,32.5,,
2024-09-09 21:00:00,8.76,-0.01,3.77,4.53,0.0,,,9.0,35.3,44.3,,
2024-09-09 22:00:00,,,,,,,,0.0,0.0,0.0,,
2024-09-09 00:00:00,,,,,,,,,,,,
