date,high,low,VWAP,open,close,VWAP1H,VWAP3H,buy_volume,sell_volume,transaction_volume,first_trade_date,last_trade_date
2026-07-15 00:00:00,181.72,112.89,156.82,148.5,130.22,148.69,156.45,1500.0,1375.8,1853.9,2026-07-14 14:24:31,2026-07-14 23:39:58
2026-07-15 01:00:00,156.5,91.06,143.06,120.0,143.0,131.15,142.22,1774.5,1823.1,2685.7,2026-07-14 13:46:21,2026-07-15 00:42:27
2026-07-15 02:00:00,159.98,113.78,134.98,120.0,132.0,125.4,131.75,1552.4,1614.8,1956.2,2026-07-14 13:46:19,2026-07-15 01:40:27
2026-07-15 03:00:00,148.61,95.47,127.92,141.12,122.45,118.47,121.94,1502.6,1585.9,1781.5,2026-07-14 14:30:02,2026-07-15 02:42:10
2026-07-15 04:00:00,145.5,95.63,126.23,136.5,125.0,119.34,118.94,1605.0,1720.5,1837.6,2026-07-14 14:21:47,2026-07-15 03:42:08
2026-07-15 05:00:00,159.41,97.75,130.62,149.0,136.0,124.42,125.59,1524.3,1624.7,1649.0,2026-07-14 15:01:24,2026-07-15 04:43:35
2026-07-15 06:00:00,251.48,118.7,146.66,146.0,158.5,157.05,145.89,1456.5,1507.7,1637.8,2026-07-14 15:17:30,2026-07-15 05:43:13
2026-07-15 07:00:00,185.13,109.58,153.11,120.0,125.5,151.82,150.82,1467.2,1434.2,1660.4,2026-07-14 13:46:08,2026-07-15 06:44:57
2026-07-15 08:00:00,229.91,118.5,150.31,120.0,176.38,151.89,150.13,2410.6,2417.4,3713.5,2026-07-14 13:46:30,2026-07-15 07:44:56
2026-07-15 09:00:00,320.99,86.04,132.25,141.72,86.15,140.46,133.0,2445.8,2364.5,3076.2,2026-07-14 14:27:26,2026-07-15 08:44:58
2026-07-15 10:00:00,143.86,61.5,113.1,97.05,79.9,101.16,112.88,3469.1,3779.2,5503.6,2026-07-14 15:17:10,2026-07-15 09:44:59
2026-07-15 11:00:00,123.33,28.4,80.86,86.63,78.3,77.91,78.48,3045.1,3137.2,3201.2,2026-07-14 15:17:10,2026-07-15 10:42:08
2026-07-15 12:00:00,118.88,2.25,53.81,47.0,68.6,69.51,52.07,4049.4,4204.7,4341.0,2026-07-14 14:03:07,2026-07-15 11:43:38
2026-07-15 13:00:00,91.6,-3.0,37.02,44.98,12.0,47.66,38.36,3410.5,3604.2,3633.7,2026-07-14 15:01:10,2026-07-15 12:43:08
2026-07-15 14:00:00,79.82,-10.0,22.7,42.93,79.8,8.32,19.35,3619.2,3608.8,3620.9,2026-07-14 15:01:10,2026-07-15 13:44:10
2026-07-15 15:00:00,192.41,-2.99,48.31,33.55,154.01,87.46,58.94,3731.2,3722.8,3748.0,2026-07-14 15:01:10,2026-07-15 14:44:58
2026-07-15 16:00:00,296.28,18.0,100.15,79.6,156.54,145.44,114.24,5289.4,5050.5,5970.0,2026-07-14 14:20:02,2026-07-15 15:44:38
2026-07-15 17:00:00,183.19,70.93,127.46,125.84,162.11,142.86,133.87,4523.5,4835.4,6157.3,2026-07-14 14:20:00,2026-07-15 16:44:52
2026-07-15 18:00:00,243.49,105.5,142.04,120.0,199.99,154.67,146.43,3085.1,3056.3,3206.1,2026-07-14 13:46:43,2026-07-15 17:43:49
2026-07-15 19:00:00,316.5,91.82,170.02,123.39,190.0,201.42,179.88,3460.5,3477.0,3511.4,2026-07-14 13:01:19,2026-07-15 18:44:35
2026-07-15 20:00:00,293.56,120.0,184.62,157.25,153.0,190.28,186.3,2893.0,2898.0,2898.0,2026-07-14 13:01:17,2026-07-15 19:42:10
2026-07-15 21:00:00,239.2,118.25,196.77,120.0,202.04,187.57,197.25,2791.1,3065.5,3597.8,2026-07-14 13:47:02,2026-07-15 20:44:59
2026-07-15 22:00:00,239.5,120.0,191.35,120.0,167.5,185.92,191.25,2860.0,3404.8,4884.2,2026-07-14 13:46:58,2026-07-15 21:42:10
2026-07-15 23:00:00,195.08,120.0,170.46,120.0,183.1,161.9,168.02,2319.4,2404.7,4063.2,2026-07-14 13:46:39,2026-07-15 22:42:13
2026-07-16 00:00:00,184.99,82.13,165.17,120.0,82.13,157.4,164.25,1265.6,1206.5,2018.9,2026-07-15 13:46:00,2026-07-15 23:42:10
2026-07-16 01:00:00,171.0,99.3,154.34,120.0,148.0,138.08,151.17,1163.8,1306.1,1958.8,2026-07-15 13:46:02,2026-07-16 00:42:08
2026-07-16 02:00:00,188.0,115.3,139.57,148.85,166.99,137.85,136.05,1363.7,1516.5,1892.5,2026-07-15 14:00:36,2026-07-16 01:42:10
2026-07-16 03:00:00,195.57,121.56,135.01,149.93,152.0,141.27,132.04,1656.5,1740.6,2197.1,2026-07-15 14:00:36,2026-07-16 02:44:51
2026-07-16 04:00:00,169.25,116.02,133.63,152.68,125.93,136.6,132.47,1320.5,1315.1,1553.9,2026-07-15 14:00:35,2026-07-16 03:42:25
2026-07-16 05:00:00,169.07,113.15,135.29,120.0,158.53,141.55,133.55,1583.6,1760.0,2084.2,2026-07-15 13:46:07,2026-07-16 04:44:28
2026-07-16 06:00:00,195.13,118.04,147.65,120.0,139.0,153.43,148.43,2508.0,2836.7,3242.6,2026-07-15 13:46:12,2026-07-16 05:42:10
2026-07-16 07:00:00,177.22,116.49,152.4,120.0,163.06,149.29,151.39,2686.6,2910.9,3741.2,2026-07-15 13:46:18,2026-07-16 06:44:42
2026-07-16 08:00:00,260.59,115.1,153.27,120.0,202.0,160.64,155.08,3287.5,3670.5,5138.6,2026-07-15 13:46:38,2026-07-16 07:42:27
2026-07-16 09:00:00,194.89,82.0,132.93,120.0,90.8,133.56,132.05,3783.7,3345.5,5865.2,2026-07-15 13:46:48,2026-07-16 08:43:17
2026-07-16 10:00:00,149.51,73.5,119.41,99.99,106.0,106.7,118.41,4832.9,4264.6,6429.3,2026-07-15 14:00:45,2026-07-16 09:43:24
2026-07-16 11:00:00,159.42,83.3,109.12,100.98,145.0,107.79,106.8,4720.1,4526.5,7822.4,2026-07-15 14:05:59,2026-07-16 10:42:49
2026-07-16 12:00:00,170.77,75.29,101.48,87.94,94.6,113.03,99.81,5557.2,5220.5,8594.4,2026-07-15 14:09:20,2026-07-16 11:44:58
2026-07-16 13:00:00,170.7,60.0,101.32,83.75,85.5,127.75,106.35,5815.2,5985.1,9290.5,2026-07-15 14:00:38,2026-07-16 12:44:10
2026-07-16 14:00:00,180.0,60.0,105.77,93.74,172.0,111.75,112.06,5027.4,5516.4,8865.0,2026-07-15 14:00:36,2026-07-16 13:44:22
2026-07-16 15:00:00,177.71,87.64,116.51,103.58,127.4,136.0,122.16,5342.3,5703.0,9277.6,2026-07-15 14:01:46,2026-07-16 14:41:41
2026-07-16 16:00:00,183.25,98.47,127.13,104.99,142.63,136.68,129.13,5294.1,5412.2,8786.0,2026-07-15 14:01:07,2026-07-16 15:44:09
2026-07-16 17:00:00,749.99,104.56,153.05,120.0,216.07,186.42,158.79,5177.5,5067.1,7766.9,2026-07-15 13:47:13,2026-07-16 16:44:28
2026-07-16 18:00:00,382.76,119.95,184.64,119.95,235.23,204.65,188.72,5531.3,4812.2,7790.0,2026-07-15 13:46:58,2026-07-16 17:44:59
2026-07-16 19:00:00,604.5,119.95,246.33,120.0,204.1,267.9,257.46,4301.6,3823.8,5653.8,2026-07-15 13:46:14,2026-07-16 18:43:42
2026-07-16 20:00:00,318.88,120.0,256.17,120.0,147.5,218.75,256.64,3540.7,3505.8,5150.9,2026-07-15 13:46:15,2026-07-16 19:44:02
