date,high,low,VWAP,open,close,VWAP1H,VWAP3H,buy_volume,sell_volume,transaction_volume,first_trade_date,last_trade_date
2026-09-18 00:00:00,170.04,85.2,112.49,170.04,112.53,111.71,112.25,118.3,176.5,182.3,2026-09-17 14:34:26,2026-09-17 22:37:26
2026-09-18 01:00:00,141.83,92.72,109.73,136.02,96.1,98.38,111.15,107.6,131.3,136.3,2026-09-17 14:35:20,2026-09-17 23:40:03
2026-09-18 02:00:00,144.58,82.1,104.12,135.16,120.76,107.19,99.34,92.8,93.8,94.0,2026-09-17 14:35:14,2026-09-18 00:41:30
2026-09-18 03:00:00,164.7,65.78,104.52,106.36,113.4,113.4,100.85,217.4,203.8,274.5,2026-09-17 14:36:28,2026-09-18 01:19:01
2026-09-18 04:00:00,181.3,68.76,114.11,138.1,138.78,131.71,118.8,296.2,329.7,368.0,2026-09-17 14:30:18,2026-09-18 02:40:16
2026-09-18 05:00:00,178.4,108.14,140.94,134.1,146.58,158.05,156.62,225.2,296.2,296.6,2026-09-17 14:20:53,2026-09-18 03:22:54
2026-09-18 06:00:00,213.99,124.0,172.53,126.0,191.27,188.79,175.3,78.4,59.4,78.5,2026-09-17 14:27:35,2026-09-18 04:43:49
2026-09-18 07:00:00,297.78,153.95,223.25,175.16,203.99,207.41,229.69,139.2,108.2,139.2,2026-09-17 19:55:06,2026-09-18 05:43:44
2026-09-18 08:00:00,259.19,141.91,197.08,203.0,165.01,160.35,194.13,382.5,151.8,405.9,2026-09-17 21:17:56,2026-09-18 06:41:45
2026-09-18 09:00:00,204.0,65.34,158.2,204.0,100.0,121.66,144.03,355.4,275.0,365.3,2026-09-17 14:20:14,2026-09-18 07:43:35
2026-09-18 10:00:00,170.25,30.54,101.92,89.95,50.0,69.13,102.53,444.5,348.4,476.2,2026-09-17 16:55:51,2026-09-18 08:43:00
