date,high,low,VWAP,open,close,VWAP1H,VWAP3H,buy_volume,sell_volume,transaction_volume,first_trade_date,last_trade_date
2024-09-05 23:00:00,122.87,85.7,101.31,99.02,96.1,96.59,101.67,65.3,145.6,209.1,,
2024-09-05 00:00:00,124.0,76.41,95.59,77.61,79.3,87.21,94.49,71.2,163.7,230.0,,
2024-09-05 01:00:00,104.7,66.16,89.22,91.69,74.44,78.9,88.37,217.7,190.2,403.6,,
2024-09-05 02:00:00,107.55,69.42,86.2,88.5,73.7,73.53,85.06,196.7,162.9,356.1,,
2024-09-05 03:00:00,98.0,71.13,84.34,72.28,78.74,86.8,83.08,142.4,246.8,385.1,,
2024-09-05 04:00:00,112.44,71.12,88.05,80.1,83.1,86.7,88.15,125.8,250.0,372.7,,
2024-09-05 05:00:00,129.82,73.31,108.99,95.81,89.9,100.1,107.01,128.2,240.9,359.9,,
2024-09-05 06:00:00,142.1,66.93,107.94,102.76,74.3,73.3,98.5,151.6,253.5,395.5,,
2024-09-05 07:00:00,165.29,48.12,92.27,106.31,64.04,66.74,86.55,226.7,188.8,403.2,,
2024-09-05 08:00:00,140.8,20.41,76.21,68.57,27.67,51.44,72.39,236.8,287.4,509.0,,
2024-09-05 09:00:00,124.4,-46.75,47.19,66.85,-21.1,-14.42,39.68,282.8,340.0,613.4,,
2024-09-05 10:00:00,62.68,-62.44,-1.29,-5.75,-32.49,-25.65,-3.31,285.8,313.9,598.1,,
2024-09-05 11:00:00,40.75,-33.61,-9.5,-4.7,-13.27,-17.16,-10.51,249.7,336.4,581.9,,
2024-09-05 12:00:00,7.38,-34.79,-13.23,7.38,-14.32,-13.49,-11.03,113.3,133.9,246.8,,
2024-09-05 13:00:00,3.98,-35.19,-11.96,-11.56,-9.81,-1.77,-6.01,183.0,153.2,331.6,,
2024-09-05 14:00:00,17.05,-31.91,-4.42,15.14,-1.8,-2.27,-3.62,219.8,138.0,352.6,,
2024-09-05 15:00:00,71.24,-47.91,5.61,-47.9,41.64,31.04,2.76,327.8,199.4,517.8,,
2024-09-05 16:00:00,406.26,-23.6,63.41,56.65,406.26,146.51,81.22,167.4,293.4,453.9,,
2024-09-05 17:00:00,335.56,24.01,120.75,77.01,261.53,155.63,129.04,259.7,387.3,632.7,,
2024-09-05 18:00:00,383.1,80.2,132.62,103.91,99.98,146.73,139.4,181.9,387.3,554.6,,
2024-09-05 19:00:00,186.75,83.0,126.48,92.93,83.0,117.21,133.42,233.7,450.7,667.9,,
