date,high,low,VWAP,open,close,VWAP1H,VWAP3H,buy_volume,sell_volume,transaction_volume,first_trade_date,last_trade_date
2026-07-12 00:00:00,147.58,64.81,131.36,129.5,96.98,130.05,131.12,400.0,345.3,730.6,2026-07-11 14:20:02,2026-07-11 23:39:26
2026-07-12 01:00:00,157.17,94.15,132.65,127.3,125.78,134.79,133.47,222.7,337.3,516.9,2026-07-11 14:40:02,2026-07-12 00:39:46
2026-07-12 02:00:00,178.55,65.11,127.6,122.2,130.96,126.86,128.31,253.2,297.7,495.4,2026-07-11 15:00:05,2026-07-12 01:39:44
2026-07-12 03:00:00,163.47,29.34,128.49,124.13,131.11,126.9,128.96,318.0,350.2,657.2,2026-07-11 14:40:02,2026-07-12 02:39:20
2026-07-12 04:00:00,143.18,96.42,129.41,120.4,105.51,130.41,130.64,297.7,277.4,562.3,2026-07-11 14:27:53,2026-07-12 03:39:32
2026-07-12 05:00:00,142.46,87.72,121.92,120.0,87.72,113.34,120.98,174.3,137.8,305.7,2026-07-11 14:26:27,2026-07-12 04:39:23
2026-07-12 06:00:00,160.16,22.11,114.0,111.0,111.71,113.7,113.62,346.0,329.5,586.4,2026-07-11 14:33:57,2026-07-12 05:39:13
2026-07-12 07:00:00,133.32,43.59,107.32,80.22,78.13,107.64,108.07,322.3,550.1,776.2,2026-07-11 14:20:16,2026-07-12 06:39:20
2026-07-12 08:00:00,146.2,8.89,74.12,103.14,33.9,72.8,77.56,387.8,457.0,776.0,2026-07-11 14:30:00,2026-07-12 07:39:20
2026-07-12 09:00:00,43.87,-41.25,6.11,21.4,-29.6,0.38,6.42,402.5,529.0,887.5,2026-07-11 14:20:03,2026-07-12 08:39:36
2026-07-12 10:00:00,42.0,-7.88,0.75,6.05,4.89,0.5,0.61,478.2,674.7,1055.7,2026-07-11 14:01:38,2026-07-12 09:39:27
2026-07-12 11:00:00,3.97,-8.99,-3.0,-2.64,-3.43,-4.23,-3.31,638.5,809.4,1405.5,2026-07-11 16:00:02,2026-07-12 10:39:59
